Metric,N2000MedianFloorRatio,N2000P10FloorRatio,N2000P90FloorRatio,MedianLogLogSlope,MinimumLogLogSlope,MaximumLogLogSlope
MAE,2.10147651738041,1.23932394879504,3.14845661450924,-0.487707296096763,-0.528221343367477,-0.463992604655917
Wasserstein,1.8034086908665,0.902075252355353,3.62152811731358,-0.497106564371553,-0.528552771147636,-0.45504077129328
