variant,component,log10k
current_sssc_fixed_grid,kxx,-0.151004293193683
current_sssc_fixed_grid,kxx,-0.11181408199088393
current_sssc_fixed_grid,kxx,0.06859156668238907
current_sssc_fixed_grid,kxx,-4.082662819874526
current_sssc_fixed_grid,kxx,-4.06806557130478
current_sssc_fixed_grid,kxx,-0.5848396308556288
current_sssc_fixed_grid,kxx,-0.42791418771200734
current_sssc_fixed_grid,kxx,-0.3253080433656488
current_sssc_fixed_grid,kxx,-3.723666530128233
current_sssc_fixed_grid,kxx,-4.028294512630303
current_sssc_fixed_grid,kxx,-4.078619021004536
current_sssc_fixed_grid,kxx,-0.2110387373622635
current_sssc_fixed_grid,kxx,-4.290916146295404
current_sssc_fixed_grid,kxx,-0.0920070237204818
current_sssc_fixed_grid,kxx,-4.139893838215558
current_sssc_fixed_grid,kxx,-4.276468226292257
current_sssc_fixed_grid,kxx,-4.423503369782332
current_sssc_fixed_grid,kxx,-4.115464533135085
current_sssc_fixed_grid,kxx,-4.14525184340812
current_sssc_fixed_grid,kxx,-4.067329171276297
current_sssc_fixed_grid,kxx,-4.09185762427941
current_sssc_fixed_grid,kxx,0.059054119688470255
current_sssc_fixed_grid,kxx,-0.5596133063691359
current_sssc_fixed_grid,kxx,-4.048308708158162
current_sssc_fixed_grid,kxx,-3.684044107815722
current_sssc_fixed_grid,kxx,-3.8876484129752904
current_sssc_fixed_grid,kxx,-4.112076217993105
current_sssc_fixed_grid,kxx,-4.038253234956047
current_sssc_fixed_grid,kxx,-3.9859232221282426
current_sssc_fixed_grid,kxx,-4.460758445080493
current_sssc_fixed_grid,kxx,0.05259293686614667
current_sssc_fixed_grid,kxx,-4.187759431945423
current_sssc_fixed_grid,kxx,-4.306476400810122
current_sssc_fixed_grid,kxx,-0.24818521278663422
current_sssc_fixed_grid,kxx,-3.892211118166265
current_sssc_fixed_grid,kxx,-4.212619559169765
current_sssc_fixed_grid,kxx,-0.4642085624249756
current_sssc_fixed_grid,kxx,-0.14859970271446013
current_sssc_fixed_grid,kxx,-4.068994516654275
current_sssc_fixed_grid,kxx,-4.025053460572342
current_sssc_fixed_grid,kxx,-4.000139506883269
current_sssc_fixed_grid,kxx,-4.133787418190405
current_sssc_fixed_grid,kxx,-3.8639618319286497
current_sssc_fixed_grid,kxx,-3.9846302812061984
current_sssc_fixed_grid,kxx,-0.2409820707902706
current_sssc_fixed_grid,kxx,-4.1328029302102545
current_sssc_fixed_grid,kxx,-4.179684463677392
current_sssc_fixed_grid,kxx,-4.039753491362845
current_sssc_fixed_grid,kxx,-4.08984021680408
current_sssc_fixed_grid,kxx,-4.201164393280967
current_sssc_fixed_grid,kxx,-3.924534445725951
current_sssc_fixed_grid,kxx,-0.41327018293814644
current_sssc_fixed_grid,kxx,-0.08626573747091562
current_sssc_fixed_grid,kxx,-0.6554850838980707
current_sssc_fixed_grid,kxx,-0.038422544859432
current_sssc_fixed_grid,kxx,-4.191770568193786
current_sssc_fixed_grid,kxx,-3.6447258451137787
current_sssc_fixed_grid,kxx,-4.191955492204241
current_sssc_fixed_grid,kxx,-4.335686410027255
current_sssc_fixed_grid,kxx,-4.018981471810168
current_sssc_fixed_grid,kxx,-0.016740321983172324
current_sssc_fixed_grid,kxx,0.2862035895903828
current_sssc_fixed_grid,kxx,-4.209998230961938
current_sssc_fixed_grid,kxx,-0.6565198872185114
current_sssc_fixed_grid,kxx,-4.0421459521124765
current_sssc_fixed_grid,kxx,-3.6722141816526603
current_sssc_fixed_grid,kxx,-4.259192285215448
current_sssc_fixed_grid,kxx,-4.007133903476468
current_sssc_fixed_grid,kxx,-4.218998827645306
current_sssc_fixed_grid,kxx,-0.2427961587185914
current_sssc_fixed_grid,kxx,-3.8646824267357083
current_sssc_fixed_grid,kxx,-0.7561826578584537
current_sssc_fixed_grid,kxx,-4.32440783156085
current_sssc_fixed_grid,kxx,-4.056392426838092
current_sssc_fixed_grid,kxx,-4.2238600900658305
current_sssc_fixed_grid,kxx,-4.2295284889000015
current_sssc_fixed_grid,kxx,-4.232374218251589
current_sssc_fixed_grid,kxx,-4.353064568396054
current_sssc_fixed_grid,kxx,-4.017254892070871
current_sssc_fixed_grid,kxx,-4.3255882337978555
current_sssc_fixed_grid,kxx,-4.188540788928183
current_sssc_fixed_grid,kxx,-3.8896268607681135
current_sssc_fixed_grid,kxx,-3.905036349978553
current_sssc_fixed_grid,kxx,-4.221205480403494
current_sssc_fixed_grid,kxx,-4.219447902403285
current_sssc_fixed_grid,kxx,-4.424586929809812
current_sssc_fixed_grid,kxx,-3.903952641958247
current_sssc_fixed_grid,kxx,-0.5786905212779323
current_sssc_fixed_grid,kxx,-0.7883088855457853
current_sssc_fixed_grid,kxx,-4.217735061673913
current_sssc_fixed_grid,kxx,-4.208604980896244
current_sssc_fixed_grid,kxx,-4.250453465856154
current_sssc_fixed_grid,kxx,-3.9624229738432883
current_sssc_fixed_grid,kxx,-3.908496758633363
current_sssc_fixed_grid,kxx,-4.179146293226208
current_sssc_fixed_grid,kxx,-4.002041875437216
current_sssc_fixed_grid,kxx,-3.959934567286844
current_sssc_fixed_grid,kxx,-4.3283544457417715
current_sssc_fixed_grid,kxx,-4.024346178470159
current_sssc_fixed_grid,kxx,-3.9280310985772746
current_sssc_fixed_grid,kxx,-4.286654828157699
current_sssc_fixed_grid,kxx,-0.20814934836634003
current_sssc_fixed_grid,kxx,-4.030792745360336
current_sssc_fixed_grid,kxx,-4.323877234920524
current_sssc_fixed_grid,kxx,-4.172223217298486
current_sssc_fixed_grid,kxx,-4.042556202216417
current_sssc_fixed_grid,kxx,-4.246788581684511
current_sssc_fixed_grid,kxx,-4.2678834008377144
current_sssc_fixed_grid,kxx,0.004318204260059644
current_sssc_fixed_grid,kxx,-0.3667387610101786
current_sssc_fixed_grid,kxx,-4.11359031690673
current_sssc_fixed_grid,kxx,-4.169595811736808
current_sssc_fixed_grid,kxx,-4.047559568260805
current_sssc_fixed_grid,kxx,-4.1993427100681435
current_sssc_fixed_grid,kxx,-4.129608482298188
current_sssc_fixed_grid,kxx,-4.384551734330612
current_sssc_fixed_grid,kxx,-4.093164265504583
current_sssc_fixed_grid,kxx,-4.205227387205164
current_sssc_fixed_grid,kxx,-4.031568741311788
current_sssc_fixed_grid,kxx,-4.0088133018081935
current_sssc_fixed_grid,kxx,-4.07166235724711
current_sssc_fixed_grid,kxx,-4.100980057431254
current_sssc_fixed_grid,kxx,-3.990620878767223
current_sssc_fixed_grid,kxx,-0.7215951815767218
current_sssc_fixed_grid,kxx,-3.9836475106140754
current_sssc_fixed_grid,kxx,0.07744583887608954
current_sssc_fixed_grid,kxx,-3.961040607286021
current_sssc_fixed_grid,kxx,-4.221580352903344
current_sssc_fixed_grid,kxx,-4.270428107934421
current_sssc_fixed_grid,kxx,-0.20818725996319168
current_sssc_fixed_grid,kxx,-3.7516113669503612
current_sssc_fixed_grid,kxx,-0.1994414050939868
current_sssc_fixed_grid,kxx,-0.17447660118788935
current_sssc_fixed_grid,kxx,-4.353472987941045
current_sssc_fixed_grid,kxx,-0.023322863232038565
current_sssc_fixed_grid,kxx,-3.9469655425715806
current_sssc_fixed_grid,kxx,-4.037663285179508
current_sssc_fixed_grid,kxx,-3.9360158342018803
current_sssc_fixed_grid,kxx,-3.970560481818548
current_sssc_fixed_grid,kxx,0.23212461853131064
current_sssc_fixed_grid,kxx,-4.181277762343054
current_sssc_fixed_grid,kxx,-0.0027883682035760643
current_sssc_fixed_grid,kxx,-4.080529605654448
current_sssc_fixed_grid,kxx,-0.7119188980112968
current_sssc_fixed_grid,kxx,-4.5343013138306905
current_sssc_fixed_grid,kxx,-4.050174769621236
current_sssc_fixed_grid,kxx,0.093332927915797
current_sssc_fixed_grid,kxx,-4.066677362297325
current_sssc_fixed_grid,kxx,-0.5676357150308986
current_sssc_fixed_grid,kxx,-4.134592106928315
current_sssc_fixed_grid,kxx,-0.027585158533877822
current_sssc_fixed_grid,kxx,-4.507272703036778
current_sssc_fixed_grid,kxx,-4.334196310243852
current_sssc_fixed_grid,kxx,-0.7258999878410789
current_sssc_fixed_grid,kxx,-4.297368579011574
current_sssc_fixed_grid,kxx,-4.052455199481582
current_sssc_fixed_grid,kxx,-4.017355762814486
current_sssc_fixed_grid,kxx,-4.262764959488592
current_sssc_fixed_grid,kxx,-3.9146009746181734
current_sssc_fixed_grid,kxx,-0.33641868746499726
current_sssc_fixed_grid,kxx,-4.028051336424039
current_sssc_fixed_grid,kxx,-4.216854286882233
current_sssc_fixed_grid,kxx,-4.172260661822105
