Window,Metric,Component,FitIntercept,FitSlope,FitR2,NumFitPoints
famp1,MAE,kxx,-1.00278988766069,-0.501190811514351,0.997517535551514,11
famp1,MAE,kyy,-1.12953283055408,-0.491445345825267,0.996319264264031,11
famp1,MAE,kzz,-1.16798094254884,-0.491743247892061,0.997647624680473,11
famp1,Hellinger,kxx,0.183009625703824,-0.531392742979653,0.997400564098392,11
famp1,Hellinger,kyy,0.101875331464507,-0.48470481194355,0.99599535028005,11
famp1,Hellinger,kzz,-0.0137508533794735,-0.45413519981212,0.996982750104471,11
famp1,Wasserstein,kxx,0.0625716217277538,-0.497100725152671,0.986383840247126,11
famp1,Wasserstein,kyy,-0.130496923401972,-0.45504077129328,0.982756411411758,11
famp1,Wasserstein,kzz,-0.00371600728164641,-0.507663432333417,0.992528386860963,11
famp2,MAE,kxx,-1.08235997991384,-0.528221343367477,0.994705723673995,11
famp2,MAE,kyy,-1.24758406052959,-0.484935956262795,0.990618752272991,11
famp2,MAE,kzz,-1.05204606221615,-0.500825548807759,0.99276075715425,11
famp2,Hellinger,kxx,0.0069389312497368,-0.504454568460957,0.99284173102005,11
famp2,Hellinger,kyy,0.0334649110572668,-0.454495774241738,0.986080710067939,11
famp2,Hellinger,kzz,0.0777930178445577,-0.487950232946062,0.994822671966524,11
famp2,Wasserstein,kxx,-0.178872317375389,-0.523190982370438,0.9929967943294,11
famp2,Wasserstein,kyy,-0.128540594170739,-0.492774178221438,0.989649025251941,11
famp2,Wasserstein,kzz,0.121063559204892,-0.51081666005602,0.974293551710699,11
famp3,MAE,kxx,-1.13724462096925,-0.494545659821157,0.985345924899318,11
famp3,MAE,kyy,-1.33616960670021,-0.463992604655917,0.993922784212439,11
famp3,MAE,kzz,-1.12152297993687,-0.467384771428682,0.993750213838935,11
famp3,Hellinger,kxx,-0.0185774819002198,-0.488484630011058,0.987455441942129,11
famp3,Hellinger,kyy,-0.0153006839001796,-0.431355810002212,0.982735474403496,11
famp3,Hellinger,kzz,0.00884620929396071,-0.455562489960984,0.997109910972503,11
famp3,Wasserstein,kxx,-0.156186396190529,-0.510063427694279,0.989652608690495,11
famp3,Wasserstein,kyy,-0.158574069594682,-0.499696787315314,0.981386587507422,11
famp3,Wasserstein,kzz,0.0579542931074156,-0.486018160806818,0.972672502821364,11
famp4,MAE,kxx,-1.12171003650418,-0.485946154305798,0.991364114275009,11
famp4,MAE,kyy,-1.34608548727752,-0.468086775585431,0.988213068343106,11
famp4,MAE,kzz,-1.02708100893296,-0.507092916236497,0.993382734335683,11
famp4,Hellinger,kxx,0.0310242670019511,-0.498886292710527,0.993572471320464,11
famp4,Hellinger,kyy,-0.0383773977499602,-0.429741694931391,0.962261202508324,11
famp4,Hellinger,kzz,0.0907828047027678,-0.486027719608771,0.997448877444669,11
famp4,Wasserstein,kxx,-0.265485855337304,-0.455072350356314,0.991561842005892,11
famp4,Wasserstein,kyy,-0.0757692433643005,-0.528552771147636,0.985147125482867,11
famp4,Wasserstein,kzz,0.130795238722234,-0.528545985800519,0.982907419321265,11
famp5,MAE,kxx,-1.16509937496495,-0.476678760291592,0.993753695045772,11
famp5,MAE,kyy,-1.33584326071186,-0.473772026304212,0.984849543195973,11
famp5,MAE,kzz,-1.04924883292268,-0.486623309554857,0.991649402120021,11
famp5,Hellinger,kxx,0.0148914718687026,-0.493041750080669,0.993584249720087,11
famp5,Hellinger,kyy,-0.0496940491616399,-0.420483674727987,0.967670782360068,11
famp5,Hellinger,kzz,0.0968529208429362,-0.479871188268381,0.997245760948502,11
famp5,Wasserstein,kxx,-0.127952582093302,-0.506701884395354,0.990232477371177,11
famp5,Wasserstein,kyy,-0.165187084320454,-0.480937648651148,0.988854551572374,11
famp5,Wasserstein,kzz,0.100324634219331,-0.491950795391953,0.992497958842004,11
famp6,MAE,kxx,-1.17928435524503,-0.473458867638791,0.990330762125609,11
famp6,MAE,kyy,-1.1730032537507,-0.498382425044646,0.993225063695822,11
famp6,MAE,kzz,-1.05545443313028,-0.488791282638669,0.992132001146121,11
famp6,Hellinger,kxx,-0.00296574212114224,-0.46928465990966,0.99054393200987,11
famp6,Hellinger,kyy,-0.0884577319273985,-0.486969765244329,0.987014791244529,11
famp6,Hellinger,kzz,0.10287522026693,-0.48505933255889,0.994329591369759,11
famp6,Wasserstein,kxx,0.148972894786704,-0.495528423762878,0.946043247789291,11
famp6,Wasserstein,kyy,-0.274438971091393,-0.497112403590435,0.982503888919363,11
famp6,Wasserstein,kzz,-0.0139246862506909,-0.470057954986473,0.99188817404143,11
