Window,Nsim,Metric,Component,MedianScore,P10Score,P90Score,FloorMedian,FloorMin,FloorMax
famp1,20,MAE,kxx,0.0232791666666667,0.0164833333333333,0.0300958333333333,0.0008875,0.000820833333333335,0.000995833333333331
famp1,20,MAE,kyy,0.0171791666666667,0.0128541666666667,0.0249020833333333,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,20,MAE,kzz,0.0160104166666667,0.0120395833333333,0.0242,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,20,Hellinger,kxx,0.325856828356257,0.276773837988764,0.409895686674283,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,20,Hellinger,kyy,0.299418813509826,0.232800242489811,0.358394748720126,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,20,Hellinger,kzz,0.25610422481427,0.21833108552041,0.32282313359771,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,20,Wasserstein,kxx,0.229064132765291,0.144337086215188,0.501404013357471,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,20,Wasserstein,kyy,0.202851791886829,0.139569426250397,0.408669281136075,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,20,Wasserstein,kzz,0.230561532063639,0.104129261813533,0.397568269360879,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,50,MAE,kxx,0.013625,0.0108208333333333,0.0203208333333333,0.0008875,0.000820833333333335,0.000995833333333331
famp1,50,MAE,kyy,0.0110854166666667,0.00711458333333333,0.0139229166666667,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,50,MAE,kzz,0.01025,0.0061625,0.0181041666666667,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,50,Hellinger,kxx,0.192367325402171,0.150558038870124,0.260145124589784,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,50,Hellinger,kyy,0.18516844239736,0.132775701651026,0.22758825009934,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,50,Hellinger,kzz,0.171959285206267,0.125442575085469,0.241252798166114,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,50,Wasserstein,kxx,0.171425164608948,0.108802113353805,0.322620369692093,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,50,Wasserstein,kyy,0.121096933001824,0.0751762600728619,0.192203963121522,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,50,Wasserstein,kzz,0.137127317538715,0.0750077423658978,0.224306380370997,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,100,MAE,kxx,0.00926041666666667,0.0064125,0.0124958333333333,0.0008875,0.000820833333333335,0.000995833333333331
famp1,100,MAE,kyy,0.00809375,0.00494583333333333,0.011,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,100,MAE,kzz,0.0065625,0.00375625,0.0105895833333333,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,100,Hellinger,kxx,0.125293006381539,0.0876891038973768,0.154511615728528,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,100,Hellinger,kyy,0.138579149625678,0.101700689409154,0.188610398590028,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,100,Hellinger,kzz,0.115066628768515,0.08615719932541,0.149155839121571,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,100,Wasserstein,kxx,0.129926741203463,0.0686701701754739,0.2504931388357,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,100,Wasserstein,kyy,0.0869138568920016,0.0566112216650743,0.159251240023089,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,100,Wasserstein,kzz,0.0971319230512159,0.0522819034523385,0.145944935812222,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,200,MAE,kxx,0.00710833333333333,0.00585208333333333,0.00907083333333333,0.0008875,0.000820833333333335,0.000995833333333331
famp1,200,MAE,kyy,0.00494791666666667,0.00329375,0.00738958333333333,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,200,MAE,kzz,0.0047625,0.0033125,0.0072125,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,200,Hellinger,kxx,0.0942587595812845,0.0749503662822679,0.1228518442388,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,200,Hellinger,kyy,0.0931192241731243,0.0746155492177001,0.110387629818509,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,200,Hellinger,kzz,0.083116538525794,0.0675519237839013,0.102037135994047,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,200,Wasserstein,kxx,0.0861250788543185,0.0500395201701274,0.142678295997892,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,200,Wasserstein,kyy,0.0569559130577143,0.0437856091087289,0.128208729892272,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,200,Wasserstein,kzz,0.0648098385651799,0.0425851905314989,0.11129768217367,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,300,MAE,kxx,0.00569097222222222,0.00337847222222222,0.00711458333333333,0.0008875,0.000820833333333335,0.000995833333333331
famp1,300,MAE,kyy,0.00432430555555556,0.00295694444444445,0.00578819444444444,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,300,MAE,kzz,0.00411180555555555,0.00261458333333334,0.00637569444444445,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,300,Hellinger,kxx,0.0683125066959091,0.0472579204913748,0.0860806945920398,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,300,Hellinger,kyy,0.0763865455865251,0.0607954376959519,0.0927277891542187,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,300,Hellinger,kzz,0.0706516208909791,0.0544097039392858,0.0943223567230058,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,300,Wasserstein,kxx,0.0671765567795783,0.0418702227200596,0.119198729385764,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,300,Wasserstein,kyy,0.0613915684260051,0.0385072545635116,0.11148284395468,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,300,Wasserstein,kzz,0.0506525584297222,0.0339178574501947,0.0919525777690989,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,400,MAE,kxx,0.0049875,0.00343541666666666,0.00704166666666667,0.0008875,0.000820833333333335,0.000995833333333331
famp1,400,MAE,kyy,0.00389791666666667,0.0027,0.00547291666666667,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,400,MAE,kzz,0.00363125,0.00240416666666667,0.00506458333333333,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,400,Hellinger,kxx,0.0630830540854757,0.0461291647664207,0.0820895371711894,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,400,Hellinger,kyy,0.0707469902345419,0.0539930000612309,0.0826009304678143,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,400,Hellinger,kzz,0.0630340473588843,0.0543621248414831,0.082824075768127,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,400,Wasserstein,kxx,0.0584379195757884,0.0312426854297425,0.0908216094097395,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,400,Wasserstein,kyy,0.0517211068618076,0.0306684709593543,0.0868247233181347,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,400,Wasserstein,kzz,0.0459993893122127,0.0267631837303706,0.0894728084577811,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,500,MAE,kxx,0.0044875,0.00358333333333333,0.00583958333333333,0.0008875,0.000820833333333335,0.000995833333333331
famp1,500,MAE,kyy,0.00359791666666667,0.002725,0.00544791666666667,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,500,MAE,kzz,0.00329166666666667,0.00200416666666666,0.005225,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,500,Hellinger,kxx,0.0544229079670047,0.0463404120660919,0.0750372276878011,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,500,Hellinger,kyy,0.0675720492049958,0.0480949878799617,0.0791537087098508,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,500,Hellinger,kzz,0.0580038228547914,0.044971162708591,0.0802389028131601,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,500,Wasserstein,kxx,0.0528073830463687,0.0345253439584824,0.0892459668674674,0.0139289672251765,0.0101273203463046,0.0165200006325234
famp1,500,Wasserstein,kyy,0.046117080205859,0.0263134594616443,0.077021496550087,0.0110678152472273,0.00629754628845753,0.0112431757650685
famp1,500,Wasserstein,kzz,0.0411589278241874,0.0265651266055404,0.0694799473457184,0.0127847705727627,0.00731354968355582,0.0137001444852429
famp1,750,MAE,kxx,0.00347083333333333,0.00228611111111111,0.00492708333333333,0.0008875,0.000820833333333335,0.000995833333333331
famp1,750,MAE,kyy,0.00296458333333333,0.00171319444444445,0.00447916666666667,0.000991666666666667,0.000737499999999998,0.00100416666666667
famp1,750,MAE,kzz,0.00262083333333333,0.00161319444444444,0.00346180555555555,0.000575000000000001,0.000545833333333334,0.000654166666666667
famp1,750,Hellinger,kxx,0.0449494376976775,0.0316916702732387,0.0584126286891437,0.0108528970587879,0.0106027787922436,0.0133524982397733
famp1,750,Hellinger,kyy,0.0526481742553172,0.0403326409934159,0.0684534876789846,0.0130406461696534,0.0128490788879463,0.0131934349500059
famp1,750,Hellinger,kzz,0.0460961535224871,0.0363320567106514,0.0541723889089257,0.01350550312585,0.0108766305554838,0.0140220230568262
famp1,750,Wasserstein,kxx,0.0496546753103306,0.0252805915668728,0.0772790668677718,0.0139289672251765,0.0101273203463046,0.0165200006325234
