Window,EnsembleType,ReferenceId,Nsim,Repeat,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,SmearOverlapRule
famp1,SmallRun,NaN,100,7,100,100,0,1,203071729,cell_union_psmear
famp1,SmallRun,NaN,100,8,100,100,0,1,203081729,cell_union_psmear
famp1,SmallRun,NaN,100,9,100,100,0,1,203091729,cell_union_psmear
famp1,SmallRun,NaN,100,10,100,100,0,1,203101729,cell_union_psmear
famp1,SmallRun,NaN,100,11,100,100,0,1,203111729,cell_union_psmear
famp1,SmallRun,NaN,100,12,100,100,0,1,203121729,cell_union_psmear
famp1,SmallRun,NaN,100,13,100,100,0,1,203131729,cell_union_psmear
famp1,SmallRun,NaN,100,14,100,100,0,1,203141729,cell_union_psmear
famp1,SmallRun,NaN,100,15,100,100,0,1,203151729,cell_union_psmear
famp1,SmallRun,NaN,100,16,100,100,0,1,203161729,cell_union_psmear
famp1,SmallRun,NaN,100,17,100,100,0,1,203171729,cell_union_psmear
famp1,SmallRun,NaN,100,18,100,100,0,1,203181729,cell_union_psmear
famp1,SmallRun,NaN,100,19,100,100,0,1,203191729,cell_union_psmear
famp1,SmallRun,NaN,100,20,100,100,0,1,203201729,cell_union_psmear
famp1,SmallRun,NaN,100,21,100,100,0,1,203211729,cell_union_psmear
famp1,SmallRun,NaN,100,22,100,100,0,1,203221729,cell_union_psmear
famp1,SmallRun,NaN,100,23,100,100,0,1,203231729,cell_union_psmear
famp1,SmallRun,NaN,100,24,100,100,0,1,203241729,cell_union_psmear
famp1,SmallRun,NaN,100,25,100,100,0,1,203251729,cell_union_psmear
famp1,SmallRun,NaN,100,26,100,100,0,1,203261729,cell_union_psmear
famp1,SmallRun,NaN,100,27,100,100,0,1,203271729,cell_union_psmear
famp1,SmallRun,NaN,100,28,100,100,0,1,203281729,cell_union_psmear
famp1,SmallRun,NaN,100,29,100,100,0,1,203291729,cell_union_psmear
famp1,SmallRun,NaN,100,30,100,100,0,1,203301729,cell_union_psmear
famp1,SmallRun,NaN,200,1,200,200,0,1,204011729,cell_union_psmear
famp1,SmallRun,NaN,200,2,200,200,0,1,204021729,cell_union_psmear
famp1,SmallRun,NaN,200,3,200,200,0,1,204031729,cell_union_psmear
famp1,SmallRun,NaN,200,4,200,200,0,1,204041729,cell_union_psmear
famp1,SmallRun,NaN,200,5,200,200,0,1,204051729,cell_union_psmear
famp1,SmallRun,NaN,200,6,200,200,0,1,204061729,cell_union_psmear
famp1,SmallRun,NaN,200,7,200,200,0,1,204071729,cell_union_psmear
famp1,SmallRun,NaN,200,8,200,200,0,1,204081729,cell_union_psmear
famp1,SmallRun,NaN,200,9,200,200,0,1,204091729,cell_union_psmear
famp1,SmallRun,NaN,200,10,200,200,0,1,204101729,cell_union_psmear
famp1,SmallRun,NaN,200,11,200,200,0,1,204111729,cell_union_psmear
famp1,SmallRun,NaN,200,12,200,200,0,1,204121729,cell_union_psmear
famp1,SmallRun,NaN,200,13,200,200,0,1,204131729,cell_union_psmear
famp1,SmallRun,NaN,200,14,200,200,0,1,204141729,cell_union_psmear
famp1,SmallRun,NaN,200,15,200,200,0,1,204151729,cell_union_psmear
famp1,SmallRun,NaN,200,16,200,200,0,1,204161729,cell_union_psmear
famp1,SmallRun,NaN,200,17,200,200,0,1,204171729,cell_union_psmear
famp1,SmallRun,NaN,200,18,200,200,0,1,204181729,cell_union_psmear
famp1,SmallRun,NaN,200,19,200,200,0,1,204191729,cell_union_psmear
famp1,SmallRun,NaN,200,20,200,200,0,1,204201729,cell_union_psmear
famp1,SmallRun,NaN,200,21,200,200,0,1,204211729,cell_union_psmear
famp1,SmallRun,NaN,200,22,200,200,0,1,204221729,cell_union_psmear
famp1,SmallRun,NaN,200,23,200,200,0,1,204231729,cell_union_psmear
famp1,SmallRun,NaN,200,24,200,200,0,1,204241729,cell_union_psmear
famp1,SmallRun,NaN,200,25,200,200,0,1,204251729,cell_union_psmear
famp1,SmallRun,NaN,200,26,200,200,0,1,204261729,cell_union_psmear
famp1,SmallRun,NaN,200,27,200,200,0,1,204271729,cell_union_psmear
famp1,SmallRun,NaN,200,28,200,200,0,1,204281729,cell_union_psmear
famp1,SmallRun,NaN,200,29,200,200,0,1,204291729,cell_union_psmear
famp1,SmallRun,NaN,200,30,200,200,0,1,204301729,cell_union_psmear
famp1,SmallRun,NaN,300,1,300,300,0,1,205011729,cell_union_psmear
famp1,SmallRun,NaN,300,2,300,300,0,1,205021729,cell_union_psmear
famp1,SmallRun,NaN,300,3,300,300,0,1,205031729,cell_union_psmear
famp1,SmallRun,NaN,300,4,300,300,0,1,205041729,cell_union_psmear
famp1,SmallRun,NaN,300,5,300,300,0,1,205051729,cell_union_psmear
famp1,SmallRun,NaN,300,6,300,300,0,1,205061729,cell_union_psmear
famp1,SmallRun,NaN,300,7,300,300,0,1,205071729,cell_union_psmear
famp1,SmallRun,NaN,300,8,300,300,0,1,205081729,cell_union_psmear
famp1,SmallRun,NaN,300,9,300,300,0,1,205091729,cell_union_psmear
famp1,SmallRun,NaN,300,10,300,300,0,1,205101729,cell_union_psmear
famp1,SmallRun,NaN,300,11,300,300,0,1,205111729,cell_union_psmear
famp1,SmallRun,NaN,300,12,300,300,0,1,205121729,cell_union_psmear
famp1,SmallRun,NaN,300,13,300,300,0,1,205131729,cell_union_psmear
famp1,SmallRun,NaN,300,14,300,300,0,1,205141729,cell_union_psmear
famp1,SmallRun,NaN,300,15,300,300,0,1,205151729,cell_union_psmear
famp1,SmallRun,NaN,300,16,300,300,0,1,205161729,cell_union_psmear
famp1,SmallRun,NaN,300,17,300,300,0,1,205171729,cell_union_psmear
famp1,SmallRun,NaN,300,18,300,300,0,1,205181729,cell_union_psmear
famp1,SmallRun,NaN,300,19,300,300,0,1,205191729,cell_union_psmear
famp1,SmallRun,NaN,300,20,300,300,0,1,205201729,cell_union_psmear
famp1,SmallRun,NaN,300,21,300,300,0,1,205211729,cell_union_psmear
famp1,SmallRun,NaN,300,22,300,300,0,1,205221729,cell_union_psmear
famp1,SmallRun,NaN,300,23,300,300,0,1,205231729,cell_union_psmear
famp1,SmallRun,NaN,300,24,300,300,0,1,205241729,cell_union_psmear
famp1,SmallRun,NaN,300,25,300,300,0,1,205251729,cell_union_psmear
famp1,SmallRun,NaN,300,26,300,300,0,1,205261729,cell_union_psmear
famp1,SmallRun,NaN,300,27,300,300,0,1,205271729,cell_union_psmear
famp1,SmallRun,NaN,300,28,300,300,0,1,205281729,cell_union_psmear
famp1,SmallRun,NaN,300,29,300,300,0,1,205291729,cell_union_psmear
famp1,SmallRun,NaN,300,30,300,300,0,1,205301729,cell_union_psmear
famp1,SmallRun,NaN,400,1,400,400,0,1,206011729,cell_union_psmear
famp1,SmallRun,NaN,400,2,400,400,0,1,206021729,cell_union_psmear
famp1,SmallRun,NaN,400,3,400,400,0,1,206031729,cell_union_psmear
famp1,SmallRun,NaN,400,4,400,400,0,1,206041729,cell_union_psmear
famp1,SmallRun,NaN,400,5,400,400,0,1,206051729,cell_union_psmear
famp1,SmallRun,NaN,400,6,400,400,0,1,206061729,cell_union_psmear
famp1,SmallRun,NaN,400,7,400,400,0,1,206071729,cell_union_psmear
famp1,SmallRun,NaN,400,8,400,400,0,1,206081729,cell_union_psmear
famp1,SmallRun,NaN,400,9,400,400,0,1,206091729,cell_union_psmear
famp1,SmallRun,NaN,400,10,400,400,0,1,206101729,cell_union_psmear
famp1,SmallRun,NaN,400,11,400,400,0,1,206111729,cell_union_psmear
famp1,SmallRun,NaN,400,12,400,400,0,1,206121729,cell_union_psmear
famp1,SmallRun,NaN,400,13,400,400,0,1,206131729,cell_union_psmear
famp1,SmallRun,NaN,400,14,400,400,0,1,206141729,cell_union_psmear
famp1,SmallRun,NaN,400,15,400,400,0,1,206151729,cell_union_psmear
famp1,SmallRun,NaN,400,16,400,400,0,1,206161729,cell_union_psmear
famp1,SmallRun,NaN,400,17,400,400,0,1,206171729,cell_union_psmear
famp1,SmallRun,NaN,400,18,400,400,0,1,206181729,cell_union_psmear
famp1,SmallRun,NaN,400,19,400,400,0,1,206191729,cell_union_psmear
famp1,SmallRun,NaN,400,20,400,400,0,1,206201729,cell_union_psmear
famp1,SmallRun,NaN,400,21,400,400,0,1,206211729,cell_union_psmear
famp1,SmallRun,NaN,400,22,400,400,0,1,206221729,cell_union_psmear
famp1,SmallRun,NaN,400,23,400,400,0,1,206231729,cell_union_psmear
famp1,SmallRun,NaN,400,24,400,400,0,1,206241729,cell_union_psmear
famp1,SmallRun,NaN,400,25,400,400,0,1,206251729,cell_union_psmear
famp1,SmallRun,NaN,400,26,400,400,0,1,206261729,cell_union_psmear
famp1,SmallRun,NaN,400,27,400,400,0,1,206271729,cell_union_psmear
famp1,SmallRun,NaN,400,28,400,400,0,1,206281729,cell_union_psmear
famp1,SmallRun,NaN,400,29,400,400,0,1,206291729,cell_union_psmear
famp1,SmallRun,NaN,400,30,400,400,0,1,206301729,cell_union_psmear
famp1,SmallRun,NaN,500,1,500,500,0,1,207011729,cell_union_psmear
famp1,SmallRun,NaN,500,2,500,500,0,1,207021729,cell_union_psmear
famp1,SmallRun,NaN,500,3,500,500,0,1,207031729,cell_union_psmear
famp1,SmallRun,NaN,500,4,500,500,0,1,207041729,cell_union_psmear
famp1,SmallRun,NaN,500,5,500,500,0,1,207051729,cell_union_psmear
famp1,SmallRun,NaN,500,6,500,500,0,1,207061729,cell_union_psmear
famp1,SmallRun,NaN,500,7,500,500,0,1,207071729,cell_union_psmear
famp1,SmallRun,NaN,500,8,500,500,0,1,207081729,cell_union_psmear
famp1,SmallRun,NaN,500,9,500,500,0,1,207091729,cell_union_psmear
famp1,SmallRun,NaN,500,10,500,500,0,1,207101729,cell_union_psmear
famp1,SmallRun,NaN,500,11,500,500,0,1,207111729,cell_union_psmear
famp1,SmallRun,NaN,500,12,500,500,0,1,207121729,cell_union_psmear
famp1,SmallRun,NaN,500,13,500,500,0,1,207131729,cell_union_psmear
famp1,SmallRun,NaN,500,14,500,500,0,1,207141729,cell_union_psmear
famp1,SmallRun,NaN,500,15,500,500,0,1,207151729,cell_union_psmear
famp1,SmallRun,NaN,500,16,500,500,0,1,207161729,cell_union_psmear
famp1,SmallRun,NaN,500,17,500,500,0,1,207171729,cell_union_psmear
famp1,SmallRun,NaN,500,18,500,500,0,1,207181729,cell_union_psmear
famp1,SmallRun,NaN,500,19,500,500,0,1,207191729,cell_union_psmear
famp1,SmallRun,NaN,500,20,500,500,0,1,207201729,cell_union_psmear
famp1,SmallRun,NaN,500,21,500,500,0,1,207211729,cell_union_psmear
famp1,SmallRun,NaN,500,22,500,500,0,1,207221729,cell_union_psmear
famp1,SmallRun,NaN,500,23,500,500,0,1,207231729,cell_union_psmear
famp1,SmallRun,NaN,500,24,500,500,0,1,207241729,cell_union_psmear
famp1,SmallRun,NaN,500,25,500,500,0,1,207251729,cell_union_psmear
famp1,SmallRun,NaN,500,26,500,500,0,1,207261729,cell_union_psmear
