Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,0.0818973220607842,0.0745594628024605,0.000274233716505817,0.0256274427190108,0.0659883066515096,0.119000459416895,0.217935296095869
famp1,Ky,2000,0.804070257014045,0.521690380156486,0.221631863058297,0.510912928883008,0.721200019208209,0.984588581820614,1.64604150736668
famp1,Kz,2000,0.982862784457942,0.644697617409818,0.118240136454606,0.526642252997734,0.899871189045628,1.33119449890484,2.13993426686085
famp2,Kx,2000,0.00395321300385257,0.019420798660169,2.20347013130598e-05,5.41731604073717e-05,0.000129160728290949,0.000393285213892418,0.0178880045465788
famp2,Ky,2000,0.101895065450232,0.267610442027378,5.57891052999563e-05,0.000162038164894166,0.0278166288353218,0.11964393265296,0.355946092150797
famp2,Kz,2000,0.748325689476368,0.557424303336524,0.00478867528998792,0.322941063698908,0.666202012482554,1.05235079882168,1.79715999033144
famp3,Kx,2000,0.00539244267529362,0.0269198881590074,2.59878975590791e-05,7.19478725379758e-05,0.000180042058391829,0.000605809914634003,0.0100562006461281
famp3,Ky,2000,0.12761539350421,0.375595693547244,6.52380174290667e-05,0.000174608151561155,0.0234646117619294,0.141264718795425,0.44875090017423
famp3,Kz,2000,1.07179416140924,0.789555649543509,0.0360099870737573,0.482094750481017,0.949695103861834,1.48862273513012,2.52652671360734
famp4,Kx,2000,0.00732731381244223,0.0367734091346346,3.40730151940088e-05,0.000105278640276582,0.000284003216718147,0.000900387901452933,0.0122898760331893
famp4,Ky,2000,0.216358452993307,0.764378246446392,7.37875418224792e-05,0.000173195000208768,0.0369346103267299,0.239398341134538,0.782848308874194
famp4,Kz,2000,1.74416624085394,1.21375116412016,0.0879754561488594,0.845503969154015,1.54376490158481,2.45553050681995,3.94136420251459
famp5,Kx,2000,0.0145958649371028,0.0697405157587662,3.85134900735983e-05,0.00010983145696096,0.000358891225518149,0.00131203248565049,0.0556627549241235
famp5,Ky,2000,0.327086234452383,1.56575397450474,8.85648152010058e-05,0.000203916415468845,0.0302890916257907,0.274535401436399,1.08207303094316
famp5,Kz,2000,2.26759547811582,1.73464270172865,0.0668838975688583,0.995734177233987,1.97965102926908,3.18720852390967,5.43924125617216
famp6,Kx,2000,0.315816897461171,0.36561082336808,6.13789858087849e-05,0.00294692399330942,0.213051188988467,0.48850896084024,1.01444600757592
famp6,Ky,2000,4.56340115382621,4.71563339932357,0.531622994962788,1.05289844418407,3.24927817768769,6.52821726109116,12.7530650510501
famp6,Kz,2000,4.75547072716753,3.94359586779602,0.0470440667587981,1.51007409314477,4.04931883952997,7.08163918415627,12.1211070886033
