Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,1.13378104374368,0.411776953569491,0.551402581169703,0.849219729392455,1.08732935226499,1.3721225381265,1.85697275631636
famp1,Ky,2000,1.83712354916294,0.946020751021371,0.867431114419926,1.2832681276757,1.65883523414639,2.12451278208616,3.28145833498192
famp1,Kz,2000,2.4828987701914,1.49468748463705,0.25340412314199,1.39258052171335,2.33165473906783,3.37849974766206,5.16894314897969
famp2,Kx,2000,0.491480549895916,0.309860344451412,0.12099690796757,0.28453431707606,0.436644754384068,0.643117442058364,1.0414697357032
famp2,Ky,2000,0.802492608079417,0.958176308425659,0.0760740704695948,0.360478636859341,0.641357005133879,0.997242975454849,1.96171225354481
famp2,Kz,2000,2.27178452652536,1.68172205022082,0.0387500408896172,0.968634457894755,2.02633329481491,3.30836138556772,5.0160180422469
famp3,Kx,2000,0.716870410072716,0.411649979518017,0.176452127465428,0.422534888964988,0.653373508899305,0.945016279942908,1.49510640215113
famp3,Ky,2000,1.09151280455377,1.09336742535641,0.0724250351675128,0.469738175746242,0.832252265013534,1.37567890737409,2.78002163448881
famp3,Kz,2000,3.56019676997681,2.50940033489909,0.107944622332559,1.69184914665118,3.27653937690256,4.99942396800865,8.08467134980431
famp4,Kx,2000,1.03789775848689,0.632804590795617,0.240844470212252,0.596636270641462,0.942764655395226,1.3338621453794,2.25193836160921
famp4,Ky,2000,1.60324714616566,1.67529394884323,0.0890911336241598,0.678551773344731,1.2351052805953,2.03751180508859,4.114884064201
famp4,Kz,2000,5.83796335992079,3.8990436911042,0.397020644220191,2.93737095558774,5.48124511080145,8.05047784812224,12.6381430599942
famp5,Kx,2000,1.60760694288943,0.955670662176214,0.404549219404283,0.941396620235318,1.42582979271545,2.11364857833613,3.43046336960578
famp5,Ky,2000,2.38521429997058,2.58941035454955,0.109779856992842,1.00177954256716,1.89224153199867,2.99800567422752,6.07838429792006
famp5,Kz,2000,8.28622910880538,5.77215385460867,0.200550878021124,3.88727248645024,7.45447363772273,11.8486887375939,18.88600716178
famp6,Kx,2000,7.91885896894065,3.47908757874941,2.90658729146007,5.44991456888578,7.54683071549698,9.98233021081707,14.1351312419621
famp6,Ky,2000,8.77933243060992,7.79117836358082,1.11767444632881,3.26091187039882,7.28055984452997,11.9337632642826,21.4087789283951
famp6,Kz,2000,18.0973320354616,12.2593678042005,0.000291384346870012,8.71626576037616,17.0196469807861,25.8105907550162,39.0765977589974
