Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,0.0466804377935263,0.0166063268807591,0.0230028070946748,0.0349096647868885,0.0451386868695621,0.0566931478103676,0.0762948106838913
famp1,Ky,2000,0.112622067316193,0.0482430468915432,0.0600187672983604,0.081128328414139,0.102893027200835,0.131333849150125,0.193608502501054
famp1,Kz,2000,0.204837677775089,0.0822504503899529,0.0729331973427144,0.147204844064317,0.206838562131313,0.25747540281721,0.343000738793443
famp2,Kx,2000,0.0177568939581355,0.0109450002755611,0.00368986662708964,0.00963198161761232,0.0159866261278844,0.0232484463097225,0.0388423212339299
famp2,Ky,2000,0.0603605329274358,0.0565447017894231,0.0100235301317673,0.0285345542807385,0.0465372970832273,0.0756101387604558,0.155682809856172
famp2,Kz,2000,0.220710300121927,0.11017835583441,0.0527307341345352,0.141980714988687,0.214855371341569,0.292289014623271,0.409361778504094
famp3,Kx,2000,0.0256326055698525,0.0162625692313707,0.00503304815459639,0.013949943752589,0.0228405039132152,0.0343338678391789,0.0549044883667116
famp3,Ky,2000,0.0890983917479225,0.0991180775555043,0.0135701721963111,0.0375909473993762,0.0648838813050651,0.107702592355613,0.232450774236201
famp3,Kz,2000,0.340265277574089,0.168958210347459,0.0883544441374881,0.220989294455168,0.324517400729921,0.443915096749232,0.641025131975536
famp4,Kx,2000,0.0386027674306147,0.0239916582317371,0.00870688880531504,0.0213181132936225,0.0346253675909638,0.0511267344576744,0.0821147194860541
famp4,Ky,2000,0.12725343108126,0.149597899221605,0.0204860731097683,0.0564087283146177,0.0938721716929287,0.152693729273421,0.320038150545049
famp4,Kz,2000,0.525797128356029,0.24587737394366,0.160127835006036,0.356556278077448,0.505878957961715,0.675232768735371,0.94022005242853
famp5,Kx,2000,0.0574464862889946,0.0358772565003266,0.0132340030599997,0.0309688242580276,0.050294116988452,0.0762601240794011,0.12543378976586
famp5,Ky,2000,0.191404371459917,0.182254928362463,0.027053179521629,0.0805241958635743,0.141492302017735,0.238539502353194,0.506482843685106
famp5,Kz,2000,0.758158144570401,0.365739161407722,0.212469745004911,0.500587376097615,0.745569499854288,0.976671552622123,1.40143308808352
famp6,Kx,2000,0.353610969354823,0.150850636664028,0.14083980149975,0.248911780531139,0.337442615575914,0.439676026358542,0.616890531248059
famp6,Ky,2000,0.785546086893047,0.499668060886578,0.164980573114365,0.473732202208427,0.698086195792255,0.996045935439273,1.66301197667852
famp6,Kz,2000,1.59066298138846,0.681189062699123,0.516989209792033,1.13633242858173,1.54556113152711,2.01338661236115,2.72383043575515
