Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,6.04646652482938,1.44918922879086,3.85171756014124,5.10269885138917,5.92807898370147,6.87631198407688,8.47524865836174
famp1,Ky,2000,6.47439625217834,2.02195479419402,4.12396951174558,5.23866829425196,6.13689084066845,7.20801167969254,9.8428988606957
famp1,Kz,2000,9.68710031900974,3.0166153416485,4.90867263766304,7.80754960882678,9.63770628656897,11.5533991599788,14.412906102963
famp2,Kx,2000,6.82660172039563,1.80043008345076,4.24165959946336,5.64247013107654,6.6755889986812,7.81889582687683,9.96748096887995
famp2,Ky,2000,8.01495680324389,2.72320048091284,5.07938280211269,6.3682659742331,7.5563087618744,9.00818996158342,12.4058609233874
famp2,Kz,2000,12.5225427290166,4.02614465960058,6.42370201658745,9.9535333822192,12.2351570463731,14.901456393019,19.1858748241413
famp3,Kx,2000,10.2058746686959,2.65211107601463,6.20399678691091,8.4044705829388,10.0271026099147,11.8446473729445,14.8834127923374
famp3,Ky,2000,11.8040785234171,3.8386944627935,7.45296312726244,9.40070997752026,10.9966621940129,13.247409569958,18.6629543234417
famp3,Kz,2000,18.8049333329775,6.00064360464137,9.48066706878803,14.9188348437919,18.5344224160063,22.4018502658112,28.9031505495084
famp4,Kx,2000,15.18974222978,3.76190070954735,9.60601394681206,12.6707564059542,14.9324375810053,17.350080722982,21.629247116714
famp4,Ky,2000,17.5116505191289,5.77239440386793,11.228455567022,13.9322741367167,16.5257725710494,19.5832397783599,26.8628271379457
famp4,Kz,2000,28.4194506837308,8.82981196349109,14.3142039384274,22.7495649416741,28.4108704196291,33.9762254905854,42.3849272319882
famp5,Kx,2000,22.8757538346676,5.8994733301943,14.2030139177692,18.7271104834066,22.4216570727262,26.3909507553418,33.2627979746386
famp5,Ky,2000,26.2117560701237,7.69702387444509,16.6231443672294,21.1653070711832,24.7669783468777,29.767652511141,40.2157529498195
famp5,Kz,2000,42.3825483741613,13.5976831467723,20.7711585609475,33.7414703023009,41.9102930150134,50.8963707819859,65.4615879073048
famp6,Kx,2000,41.2950563845028,8.72179694734191,27.9247257794383,35.425881913804,40.796078227395,46.2671552653918,56.6022527614539
famp6,Ky,2000,39.952247551718,13.2905521287665,22.8070996751529,31.2725884535149,38.0140489608125,46.3688871588597,64.4801007462545
famp6,Kz,2000,59.7162973659567,18.4952238848576,30.3955183346133,48.348805729231,59.7575267708339,70.7165117817567,89.2298702946266
