Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,0.00142690476616479,0.00287267103424404,5.55150168194667e-06,1.28606447917944e-05,3.36360213626967e-05,0.00192281599777617,0.00744312727826693
famp1,Ky,2000,0.0537304221354464,0.0340841238180204,0.0129596726432088,0.0325956430848355,0.0483115790430515,0.0665802055514364,0.111219901549663
famp1,Kz,2000,0.0552601263320293,0.0404293368852513,0.00350301359650139,0.0255164026152328,0.047804852528528,0.0770591378492002,0.130324865925031
famp2,Kx,2000,0.000237044972409621,0.00120644215560211,3.58927959333338e-06,6.63683870316485e-06,1.23930906965994e-05,3.14145146798105e-05,0.000322748374122617
famp2,Ky,2000,0.00954967364984174,0.0267251579880197,1.45553441497434e-05,4.81191649562066e-05,0.00329066204932047,0.0100944190362269,0.0313875642157124
famp2,Kz,2000,0.0550222389459438,0.044488713372085,3.52753963583841e-05,0.0228650087535704,0.04549278984643,0.0763053549732049,0.138197830395705
famp3,Kx,2000,0.000259357846172131,0.0015620408008895,4.08913445184964e-06,7.97012122897504e-06,1.51304991373577e-05,3.79882720582936e-05,0.000276163952377859
famp3,Ky,2000,0.0134620508727755,0.0395255631832897,1.54507036534502e-05,4.57922782474273e-05,0.00464089088829051,0.0147887349814356,0.0460115029369958
famp3,Kz,2000,0.0794247988847161,0.0618949929855831,0.000762664051663824,0.0315007931828051,0.0699721471075504,0.112857199149338,0.197180108864846
famp4,Kx,2000,0.000390813076670618,0.00194859877298178,4.39321429686199e-06,9.57560756077316e-06,2.03731562757989e-05,5.87971773247844e-05,0.000442190779830305
famp4,Ky,2000,0.0188321669192797,0.048765849115746,1.61972162370294e-05,4.25236193232695e-05,0.00559738246124168,0.0195250673801524,0.0691344831966636
famp4,Kz,2000,0.119944591951108,0.0926691880051019,4.53516631974606e-05,0.0491527318230038,0.102600660378267,0.171134135879474,0.286402443525909
famp5,Kx,2000,0.000730345226983497,0.00376152998832196,5.01440379500388e-06,1.13603198186734e-05,2.73901924176249e-05,8.19374517007689e-05,0.000843445708310843
famp5,Ky,2000,0.0281644588072395,0.0844699078945505,1.85990052183693e-05,4.61320230819891e-05,0.00697247163168527,0.0304236633534267,0.0968900021416345
famp5,Kz,2000,0.163822793743461,0.130269776522155,0.000102644939067535,0.0665899420167132,0.136781115076367,0.23105359865,0.425192302991018
famp6,Kx,2000,0.0188277372647118,0.0227984932299779,7.95692271353335e-06,2.38034672422437e-05,0.0110285054337669,0.0303908903342536,0.0647524713153623
famp6,Ky,2000,0.344052253703369,0.329354434560765,0.0335352827252039,0.0884739314011465,0.273536256382031,0.491813991086863,0.921162569510526
famp6,Kz,2000,0.327662221407778,0.287206637291067,0.00134858463914582,0.0853317457262728,0.264287788853994,0.502043963744509,0.857529675680962
