Window,Component,N,Mean_mD,Std_mD,P05_mD,P25_mD,Median_mD,P75_mD,P95_mD
famp1,Kx,2000,0.0499150914352949,0.080326418449478,5.85424696053419e-06,8.70995203866859e-05,0.00183272547632916,0.0721817314339254,0.221442325720965
famp1,Ky,2000,0.499817823996621,0.443167329420754,2.43796464232268e-05,0.169037245179923,0.438779701923691,0.696404581097408,1.30195362951267
famp1,Kz,2000,0.268725255459105,0.273953176580554,1.66924391160404e-05,0.0282121959178678,0.202168347106416,0.423976660522626,0.810639966821004
famp2,Kx,2000,0.0125552010769375,0.0467502616946671,3.42669929783303e-06,6.60676509279101e-06,4.66134911255602e-05,0.000354885332103455,0.0856622724343576
famp2,Ky,2000,0.0649185067230662,0.155533730384524,1.14178387412693e-05,2.15964357613392e-05,6.10532792337946e-05,0.0560974562096242,0.336252539469199
famp2,Kz,2000,0.285874294705275,0.332697634416581,1.75858238024996e-05,0.00292446735624829,0.17780426673012,0.432891645835867,0.988893001210397
famp3,Kx,2000,0.0163050369329659,0.0577325512464453,3.56363423208023e-06,6.46455359451571e-06,4.69867371716093e-05,0.000418619663065048,0.10948491763046
famp3,Ky,2000,0.0820758216130054,0.278388090959914,1.16573019576069e-05,2.17081988376578e-05,4.85945435703884e-05,0.0603059657792533,0.410519001124323
famp3,Kz,2000,0.426547494709079,0.503161404260054,1.68756940557835e-05,0.00886228590155256,0.256536538240513,0.647564399953686,1.47426625323389
famp4,Kx,2000,0.0282988740047451,0.120643152225787,4.09400528719468e-06,7.7097318144346e-06,7.15818096542526e-05,0.000597563315959285,0.185157119858547
famp4,Ky,2000,0.134609190970727,0.836466267195413,1.29752373614367e-05,2.2605139816352e-05,4.78592318682851e-05,0.0772790119965735,0.581628583887957
famp4,Kz,2000,0.673053614088594,0.783311394256318,2.01597570082968e-05,0.0248310301095146,0.443622828466927,1.04392613507789,2.13918814005999
famp5,Kx,2000,0.0449905668114623,0.185128349975401,4.55833616968696e-06,8.87324471673771e-06,0.000115634407147457,0.000924736196400647,0.300938249454074
famp5,Ky,2000,0.138304981208355,0.481074266868225,1.45571800810406e-05,2.64624082822173e-05,4.94831505231675e-05,0.0588874355010819,0.70487607105213
famp5,Kz,2000,0.957719343616436,1.05314731235417,2.12643026805919e-05,0.0466181042774915,0.664020346702962,1.5051844306973,3.09360475076171
famp6,Kx,2000,0.0654269364136121,0.162173588575678,6.41657075097788e-06,1.08739496195806e-05,0.000612625435247345,0.0207447601874205,0.397742337601929
famp6,Ky,2000,2.25856790980598,3.34042144069933,0.32530015598668,0.540851272066689,0.903497673850678,2.75690481200231,8.11690982197852
famp6,Kz,2000,1.44583152192544,2.33245613486134,2.36926685898225e-05,0.00271991878745528,0.254099960945797,2.01697618222784,6.63605533310765
