VariantLabel,Description,FWPattern,HWPattern,FWThickness,HWThickness,FWZmax,HWZmax,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CollapseNote,CheckpointFile
current_sssc_fixed_grid,Current fixed-grid W6 nonuniform medium-sand representation.,SSSC,S,[28.2932 33.1042 33.1699 33.1042],127.6715,[1440.6 1417.5 1392.5 1367.5],1400,1000,0.1,0.4,2000,2000,0,1,21260605,No collapse; three adjacent sand layers remain separate.,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\w6_collapsed_sand_sensitivity\data\current_sssc_fixed_grid\predict_runs.mat
collapsed_sc,Collapsed W6 representation with adjacent footwall sands combined.,SC,S,[94.5673 33.1042],127.6715,[1415.6423 1367.5],1400,1000,0.1,0.4,2000,2000,0,1,22260605,First three adjacent footwall sand layers collapsed into one sand package.,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\w6_collapsed_sand_sensitivity\data\collapsed_sc\predict_runs.mat
