ScenarioIndex,ScenarioLabel,ScenarioName,Window,OriginalFWPattern,OriginalHWPattern,CollapsedFWPattern,CollapsedHWPattern,CollapsedFWThickness,CollapsedHWThickness,CollapsedFWZmax,CollapsedHWZmax,SmearOverlapRule,CollapseAdjacentLithology,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,11,case_011_zf0500_svcl010_cvcl050,500,0.1,0.5,2000,2000,0,1,111101729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_011_zf0500_svcl010_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,12,case_012_zf0500_svcl010_cvcl060,500,0.1,0.6,2000,2000,0,1,111201729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_012_zf0500_svcl010_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,13,case_013_zf0500_svcl020_cvcl040,500,0.2,0.4,2000,2000,0,1,111301729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_013_zf0500_svcl020_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,14,case_014_zf0500_svcl020_cvcl050,500,0.2,0.5,2000,2000,0,1,111401729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_014_zf0500_svcl020_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,15,case_015_zf0500_svcl020_cvcl060,500,0.2,0.6,2000,2000,0,1,111501729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_015_zf0500_svcl020_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,16,case_016_zf0500_svcl030_cvcl040,500,0.3,0.4,2000,2000,0,1,111601729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_016_zf0500_svcl030_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,17,case_017_zf0500_svcl030_cvcl050,500,0.3,0.5,2000,2000,0,1,111701729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_017_zf0500_svcl030_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,18,case_018_zf0500_svcl030_cvcl060,500,0.3,0.6,2000,2000,0,1,111801729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_018_zf0500_svcl030_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,19,case_019_zf1000_svcl010_cvcl040,1000,0.1,0.4,2000,2000,0,1,111901729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_019_zf1000_svcl010_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,SC,SC,115.6143 28.8949,37.6113 106.8979,1912 1861,1934 1885.7188,cell_union_psmear,1,20,case_020_zf1000_svcl010_cvcl050,1000,0.1,0.5,2000,2000,0,1,112001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data_collapsed_cell_union\data\scenario_01_low_sand_uniform\famp1\case_020_zf1000_svcl010_cvcl050\predict_runs.mat
