sample_index,log10_kxx,log10_kyy,log10_kzz,cluster
447,-2.3715196733,-1.2360899739,-1.0549071177,2
448,-2.7620309724,-1.6350081366,-1.2214746957,2
449,-2.9807198376,-1.4360954939,-0.8374316996,2
450,-2.1764987206,-0.8591638589,-0.7168049458,2
451,-2.1462500930,-1.3590714925,-0.9735264327,2
452,-2.4582713910,-1.4192077517,-1.5030851773,2
453,-2.1069824719,-1.9771323416,-1.3110178854,2
454,-4.9070290063,-1.2685372901,-1.4748959043,1
455,-3.8873596305,-1.2569424336,-4.8114889525,3
456,-3.6924749068,-1.0250030547,-1.0042121544,1
457,-2.2653258819,-0.9448195785,-1.1258915987,2
458,-4.2737700519,-1.5991799664,-1.0744535204,1
459,-5.4790136162,-1.3720244163,-2.0626444482,1
460,-3.5712611594,-1.3504267212,-1.1688091632,1
461,-2.1166858908,-1.3375130598,-1.2042177211,2
462,-2.6755903287,-1.0539127894,-1.1699943360,2
463,-1.9727231406,-2.4905256932,-1.0004043537,2
464,-3.1050873843,-1.1558364729,-4.8990419556,3
465,-4.0747467865,-1.1010217337,-0.9756978313,1
466,-2.0560191606,-1.0516525921,-0.9331970721,2
467,-2.1182603146,-0.8400869152,-0.9430013988,2
468,-3.8194978402,-1.0639639587,-0.7399810490,1
469,-2.6331739680,-1.0958495564,-0.9011418793,2
470,-2.6841199457,-2.0456845730,-1.1471315794,2
471,-1.9289353176,-1.5521443377,-1.1828777787,2
472,-2.3185445616,-1.1403047625,-0.9145094307,2
473,-1.8034333933,-0.9653913231,-0.8882148848,2
474,-2.3940733439,-0.9746172586,-1.4882662953,2
475,-2.8974627469,-2.0035494204,-2.4704921074,2
476,-2.5121254103,-1.1440524819,-0.7510919466,2
477,-2.4984231818,-0.8352666827,-0.6825587624,2
478,-2.3582381735,-1.0823863834,-0.7593669752,2
479,-1.8385705006,-1.7306150432,-1.1755246713,2
480,-1.8219191411,-0.8777429680,-0.7240354690,2
481,-4.4033377495,-0.6260510213,-1.0039492524,1
482,-2.6901439092,-1.2609463766,-0.7589764450,2
483,-3.8339066208,-0.9968657335,-0.8978151039,1
484,-1.7371165711,-0.3132092969,-0.5284589878,2
485,-5.3706192904,-1.0546352216,-1.3764732559,1
486,-5.1839052346,-1.4435403938,-4.9014374932,3
487,-2.4201060461,-1.2577357209,-0.7815792936,2
488,-2.1561488678,-1.0532860699,-1.1505022135,2
489,-1.8861985555,-0.9617825350,-0.7926959843,2
490,-2.5616647973,-0.9416954497,-0.8731279933,2
491,-1.6479352027,-1.8700669175,-0.9992695293,2
492,-2.3444723569,-0.9556216387,-0.9962987210,2
493,-1.8698925892,-1.3228374633,-4.9445145052,3
494,-3.0577837477,-3.2818834159,-0.8931563486,2
