VariantLabel,FWPattern,HWPattern,Realization,Log10Kxx,Log10Kyy,Log10Kzz,SandFrac3D,AcrossFaultSandConnected3D,VerticalSandConnected3D,StrikeSandConnected3D,MaxSandObjectX3D,MaxSandObjectZ3D,MaxSandObjectY3D,NumSegments,SegmentAcrossFaultConnFraction,UpperHalfSandFracMean,LowerHalfSandFracMean,MeanPsmear,MinPsmear
uniform_SCSC,SCSC,S,31,-3.70316852155474,1.2576608690185,-3.95953639065804,0.286966666666667,1,0,1,1,0.7,1,3,0,0.538066666666667,0.0358666666666667,1,1
uniform_SCSC,SCSC,S,32,-4.00896333005632,1.67031946206969,-0.786002239023336,0.353,0,0,1,0.93,0.93,1,8,0,0.564275,0.141725,1,1
uniform_SCSC,SCSC,S,33,-4.09467554141734,0.880530690748491,-1.9178892391046,0.284430769230769,0,0,1,0.98,0.98,1,13,0,0.465753846153846,0.103107692307692,1,1
uniform_SCSC,SCSC,S,34,-0.696680063786162,1.54898884923381,1.11725126026735,0.384,1,1,1,1,1,1,8,0,0.60245,0.16555,1,1
uniform_SCSC,SCSC,S,35,-4.1037393484673,0.791458428261721,-1.32755269646906,0.3004,0,0,1,0.92,0.92,1,4,0,0.4647,0.1361,1,1
uniform_SCSC,SCSC,S,36,-4.08792557837086,0.894152511793598,0.622281864046999,0.298581818181818,0,1,1,0.96,1,1,11,0,0.479927272727273,0.117236363636364,1,1
uniform_SCSC,SCSC,S,37,-0.516921987157817,1.00193453397698,0.699784942908348,0.278988888888889,1,1,1,1,1,1,9,0.111111111111111,0.453177777777778,0.1048,1,1
uniform_SCSC,SCSC,S,38,0.287216194607551,1.24147643086004,1.29085829350799,0.385054545454545,1,1,1,1,1,1,11,0.272727272727273,0.549163636363636,0.220945454545455,1,1
uniform_SCSC,SCSC,S,39,-1.65703664391882,0.54739589827855,-3.71683225748495,0.159377777777778,1,0,1,1,0.81,1,9,0,0.294155555555556,0.0246,1,1
uniform_SCSC,SCSC,S,40,-0.756252861209378,1.01536902993357,0.72943036199088,0.373909090909091,1,1,1,1,1,1,11,0.0909090909090909,0.540654545454545,0.207163636363636,1,1
uniform_SCSC,SCSC,S,41,-1.96841854804214,0.968456755035299,-3.35350941090955,0.2497,1,0,1,1,0.86,1,9,0,0.448822222222222,0.0505777777777778,1,1
uniform_SCSC,SCSC,S,42,-2.23052132359788,0.543710042828632,-3.55693873849976,0.191788888888889,1,0,1,1,0.85,1,9,0,0.347955555555556,0.0356222222222222,1,1
uniform_SCSC,SCSC,S,43,-4.22866991667014,0.560499563629954,-3.70762952258119,0.2182,0,0,1,0.85,0.73,1,5,0,0.40568,0.03072,1,1
uniform_SCSC,SCSC,S,44,-2.22163596687187,0.733073189681261,0.536963991613971,0.25749,1,1,1,1,1,1,10,0,0.43208,0.0829,1,1
uniform_SCSC,SCSC,S,45,-4.13183155265965,0.777721841993722,-0.0545742905505244,0.2436875,0,0,1,0.92,0.92,1,8,0,0.400225,0.08715,1,1
uniform_SCSC,SCSC,S,46,-2.11641376207908,1.26306445348907,-3.62015180241983,0.30182,1,0,1,1,0.83,1,10,0,0.54544,0.0582,1,1
uniform_SCSC,SCSC,S,47,-2.04777076135487,1.60989081361279,-3.49042999765405,0.3227,1,0,1,1,0.84,1,4,0,0.5658,0.0796,1,1
uniform_SCSC,SCSC,S,48,-4.35247913686111,0.598263336607962,-1.71681340823688,0.196,0,0,1,0.87,0.87,1,5,0,0.33136,0.06064,1,1
uniform_SCSC,SCSC,S,49,-0.639957790486591,0.966679974161039,-3.58341063122686,0.258976923076923,1,0,1,1,0.87,1,13,0,0.471661538461539,0.0462923076923077,1,1
uniform_SCSC,SCSC,S,50,-3.86964103938802,0.691755034624374,-1.15849635353711,0.315066666666667,0,0,1,0.92,0.92,1,3,0,0.449066666666667,0.181066666666667,1,1
uniform_SCSC,SCSC,S,51,-4.00120028537671,0.666969369187593,-1.15600823207901,0.258972727272727,0,0,1,0.97,0.97,1,11,0,0.398036363636364,0.119909090909091,1,1
uniform_SCSC,SCSC,S,52,-4.3364714876358,0.605884864300578,-3.6895785014165,0.21203,0,0,1,0.86,0.82,1,10,0,0.3886,0.03546,1,1
uniform_SCSC,SCSC,S,53,-0.505486166390829,1.279907257508,1.38621944007895,0.4262,1,1,1,1,1,1,11,0.0909090909090909,0.632763636363636,0.219636363636364,1,1
uniform_SCSC,SCSC,S,54,-1.3698533826172,0.719828203413591,-1.42042479496053,0.251241666666667,1,0,1,1,0.97,1,12,0,0.43815,0.0643333333333333,1,1
uniform_SCSC,SCSC,S,55,-0.153127423489861,0.493616526595429,1.17814092012655,0.3368,1,1,1,1,1,1,3,0.333333333333333,0.480066666666667,0.193533333333333,1,1
uniform_SCSC,SCSC,S,56,-3.90354037022751,0.792266393672894,-0.369440978548425,0.3049,0,0,1,0.99,0.99,1,5,0,0.4726,0.1372,1,1
uniform_SCSC,SCSC,S,57,-2.22218751263195,1.2508345828433,-3.70987688684804,0.237466666666667,1,0,1,1,0.79,1,3,0,0.4328,0.0421333333333333,1,1
uniform_SCSC,SCSC,S,58,-0.0481704697549992,0.950480684937811,0.812632673165224,0.363436363636364,1,1,1,1,1,1,11,0.0909090909090909,0.525618181818182,0.201254545454545,1,1
uniform_SCSC,SCSC,S,59,-3.53005656172679,0.624079872015602,-3.29343813052495,0.279733333333333,1,0,1,1,0.88,1,6,0,0.486333333333333,0.0731333333333333,1,1
uniform_SCSC,SCSC,S,60,-2.52045264901057,0.862841384172587,0.0517090521949499,0.256516666666667,1,0,1,1,0.94,1,12,0,0.43745,0.0755833333333333,1,1
uniform_SCSC,SCSC,S,61,-1.06368347500509,1.50612531903807,0.547262141694451,0.288655555555556,1,1,1,1,1,1,9,0,0.500555555555556,0.0767555555555555,1,1
uniform_SCSC,SCSC,S,62,-1.39819749438981,1.10582533983447,0.695440870874813,0.25417,1,1,1,1,1,1,10,0,0.40742,0.10092,1,1
uniform_SCSC,SCSC,S,63,0.127883913292255,1.63304774339408,1.10208396147616,0.405,1,1,1,1,1,1,6,0.166666666666667,0.595366666666667,0.214633333333333,1,1
uniform_SCSC,SCSC,S,64,-0.624493314407372,0.728319614656362,1.00471279996136,0.215583333333333,1,1,1,1,1,1,12,0,0.34465,0.0865166666666667,1,1
uniform_SCSC,SCSC,S,65,-0.892238917442758,0.684503598277093,0.653878304562551,0.310066666666667,1,1,1,1,1,1,12,0,0.479233333333333,0.1409,1,1
uniform_SCSC,SCSC,S,66,-1.37149303602506,0.52156331173486,0.243782703295897,0.240475,1,1,1,1,1,1,8,0,0.3985,0.08245,1,1
uniform_SCSC,SCSC,S,67,-4.15707745923675,0.879038490262725,-1.72053135767915,0.2012,0,0,1,0.95,0.95,1,11,0,0.346727272727273,0.0556727272727273,1,1
uniform_SCSC,SCSC,S,68,-0.666306214108194,0.609116851287254,1.18227212785178,0.2738,1,1,1,1,1,1,8,0.125,0.412225,0.135375,1,1
uniform_SCSC,SCSC,S,69,-4.45114553764848,1.41833702373823,-3.95671639263708,0.177675,0,0,1,0.71,0.71,1,4,0,0.3368,0.01855,1,1
uniform_SCSC,SCSC,S,70,-0.198341998467274,0.601054306176822,1.2257857830682,0.298066666666667,1,1,1,1,1,1,6,0.166666666666667,0.471966666666667,0.124166666666667,1,1
uniform_SCSC,SCSC,S,71,-2.54452545416847,0.83650721748544,0.961927903187347,0.29947,1,1,1,1,1,1,10,0,0.4779,0.12104,1,1
uniform_SCSC,SCSC,S,72,-1.34504178508354,1.19787961990133,0.635796636782845,0.35821,1,1,1,1,1,1,10,0,0.5885,0.12792,1,1
uniform_SCSC,SCSC,S,73,-1.3458324876349,0.637800515117329,0.830564510640082,0.26555,1,1,1,1,1,1,6,0,0.440533333333333,0.0905666666666667,1,1
uniform_SCSC,SCSC,S,74,-4.09078811107902,0.521757751654132,-1.18640055272397,0.224436363636364,0,0,1,0.96,0.96,1,11,0,0.360636363636364,0.0882363636363636,1,1
uniform_SCSC,SCSC,S,75,-4.1825675681571,1.09196052461172,0.00413277570528983,0.30638,0,0,1,0.96,0.96,1,10,0,0.52448,0.08828,1,1
uniform_SCSC,SCSC,S,76,-3.73841343735221,0.875352785434041,-0.953728852522126,0.364069230769231,0,0,1,0.99,0.99,1,13,0,0.529676923076923,0.198461538461538,1,1
uniform_SCSC,SCSC,S,77,-4.26263213713372,0.852295673964424,-3.62517443026422,0.205342857142857,0,0,1,0.84,0.84,1,7,0,0.372457142857143,0.0382285714285714,1,1
uniform_SCSC,SCSC,S,78,-4.332352401687,0.628996670060646,-1.45911407628849,0.21329,0,0,1,0.92,0.92,1,10,0,0.37128,0.0553,1,1
uniform_SCSC,SCSC,S,79,-3.31311545564274,1.56803579019432,0.859894320045312,0.389666666666667,1,1,1,1,1,1,3,0,0.6394,0.139933333333333,1,1
uniform_SCSC,SCSC,S,80,-1.77119255938295,0.702928291675701,-1.15600284153296,0.257488888888889,1,0,1,1,0.89,1,9,0,0.451022222222222,0.0639555555555556,1,1
nonuniform_SSSC,SSSC,S,1,-4.00028460042814,0.901920316696644,-1.60705455053734,0.274641666666667,0,0,1,0.98,0.98,1,12,0,0.346766666666667,0.202516666666667,1,1
nonuniform_SSSC,SSSC,S,2,-3.97153703527214,1.03810499966507,-0.623076737582657,0.37546,0,0,1,0.93,0.93,1,10,0,0.4436,0.30732,1,1
nonuniform_SSSC,SSSC,S,3,-4.03908530031252,1.82280239951799,-1.32290729460394,0.4262375,0,0,1,0.96,0.96,1,8,0,0.514125,0.33835,1,1
nonuniform_SSSC,SSSC,S,4,-4.12056208366959,1.53049260989987,-0.869542009705508,0.3057,0,0,1,0.91,0.91,1,8,0,0.39905,0.21235,1,1
nonuniform_SSSC,SSSC,S,5,-0.658831842741009,0.736863096874572,0.696858897458351,0.268766666666667,1,1,1,1,1,1,9,0.111111111111111,0.339866666666667,0.197666666666667,1,1
