VariantLabel,GroupCount,mean_Log10Kxx,median_Log10Kxx,mean_Log10Kyy,median_Log10Kyy,mean_Log10Kzz,median_Log10Kzz,mean_SandFrac3D,median_SandFrac3D,mean_AcrossFaultSandConnected3D,median_AcrossFaultSandConnected3D,mean_SegmentAcrossFaultConnFraction,median_SegmentAcrossFaultConnFraction,mean_UpperHalfSandFracMean,median_UpperHalfSandFracMean,mean_MeanPsmear,median_MeanPsmear
nonuniform_SSSC,80,-3.22651915201625,-4.07317886833165,0.933478964892337,0.834329396302102,-0.553012773662535,-0.515363406756182,0.312423616324648,0.320490277777778,0.2375,0,0.0359190115440115,0,0.379514258345821,0.385632222222222,1,1
uniform_SCSC,80,-2.27189531666034,-2.08209226171698,0.958458757772092,0.844401445724932,-0.638441643962571,-0.268683892957596,0.289571400484932,0.283651748251748,0.65,1,0.0285353535353535,0,0.467616396846209,0.465226923076923,1,1
