Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.352581086011208,0.205978272748581,0.207359502245518,0.20073115188781,0.162723337723524,0.108296054280994,0.072391370379596,0.0794584809472259,0.065614875684259,0.0604511314250122,0.0432577587324288
famp2,0.373361216479659,0.29655819568925,0.22921798960625,0.172217140564549,0.18648181297266,0.170398846656592,0.10507629317719,0.0703169707991304,0.0743206304304797,0.0465912008291723,0.0459289314828249
famp3,0.362164540943858,0.258960007679745,0.275109999315898,0.216808167541492,0.154936527635482,0.140586329971389,0.0976106777379685,0.0792408913915103,0.0652912275012319,0.0622606199312556,0.0355563818093785
famp4,0.453261842831387,0.321231202849738,0.212762683916666,0.22053310923489,0.171034793605139,0.130959178373747,0.088235965849561,0.0644407964192748,0.0934735456166801,0.0518724302474877,0.0598222021153833
famp5,0.342295454584863,0.287583872291802,0.239123513686628,0.179632948862023,0.172650028379756,0.137784764990628,0.109160451356123,0.0967100220866113,0.0757001098574364,0.0694398262214198,0.0497654902455406
famp6,0.348581592141477,0.237680583996816,0.216701874342648,0.184591510798771,0.188191942725101,0.152706649839961,0.0779205227332755,0.0690831801661351,0.062796419737887,0.0625252173605631,0.0402814189089309
