Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.01085,0.00878333333333333,0.0140777777777778,0.00755,0.00460833333333333,0.00490833333333333,0.00270833333333333,0.00430277777777778,0.00338333333333333,0.001925,0.004125
famp2,0.0279666666666667,0.0179416666666667,0.0125444444444444,0.0147333333333333,0.0149833333333333,0.0139833333333333,0.00679166666666667,0.00417777777777778,0.005025,0.00435,0.00334166666666667
famp3,0.0246416666666667,0.0201666666666667,0.0165083333333333,0.0113166666666667,0.00845833333333333,0.00919166666666667,0.00459166666666667,0.00628611111111111,0.003825,0.00506666666666666,0.00244166666666667
famp4,0.0297083333333333,0.033325,0.013975,0.0192333333333333,0.013475,0.00909166666666667,0.00681666666666667,0.00680833333333333,0.007825,0.00456666666666666,0.00284166666666667
famp5,0.027225,0.02425,0.0137194444444444,0.0179333333333333,0.00889166666666667,0.00823333333333334,0.00781666666666667,0.00598055555555556,0.00614166666666667,0.00470833333333333,0.00375
famp6,0.0120666666666667,0.01035,0.00895,0.0120666666666667,0.0138166666666667,0.00480833333333334,0.00688333333333333,0.00248055555555555,0.00290833333333333,0.00200833333333334,0.002175
