Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.279902082883378,0.144777113807563,0.119720384074942,0.102920626026464,0.0869892079128152,0.0826380567979321,0.0375723478129963,0.0464373622021702,0.0353180267014329,0.0471227576565065,0.0363602725686272
famp2,0.241212626750901,0.44834304629064,0.172709886333955,0.115939177176114,0.202303351634612,0.124548673755714,0.0899798441998341,0.0435348260715568,0.0804114400793886,0.0384881267573611,0.0299160038885969
famp3,0.390516406774103,0.213945206021448,0.297023578128636,0.33280108994059,0.12381381161005,0.187293389486204,0.0955355328947432,0.059387829492622,0.102045205756863,0.0727445448563425,0.028269605992218
famp4,0.339251615857299,0.345419257820804,0.115737838528908,0.180510648794464,0.207707797326858,0.101856987030212,0.042717419049831,0.0848515694525455,0.0844664787239443,0.0370368108864687,0.0683094238399306
famp5,0.233066440208153,0.294053906314699,0.153061072029045,0.240078102315792,0.133219276016328,0.122301540777315,0.115489103235379,0.0871707119030684,0.0621274422857909,0.0511002064813393,0.0433994863684573
famp6,0.222865659949771,0.195401042201287,0.143419959374509,0.126261669886979,0.132391611264671,0.109313112912037,0.0887627643447194,0.0810052358010578,0.0496639214270145,0.0712536104245369,0.0275527640415461
