Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.220866666666667,0.1417,0.135555555555556,0.101933333333333,0.1202,0.073,0.0606333333333333,0.0554666666666667,0.0470666666666667,0.0391666666666666,0.0346666666666667
famp2,0.283033333333333,0.279533333333333,0.168355555555556,0.142633333333333,0.132966666666667,0.1316,0.0843,0.0464888888888889,0.0598666666666667,0.0366,0.0342
famp3,0.286766666666667,0.190133333333333,0.258,0.1568,0.144966666666667,0.126866666666667,0.0722666666666667,0.0614111111111111,0.0567,0.051,0.0218666666666667
famp4,0.400733333333333,0.285033333333333,0.142344444444444,0.189366666666667,0.131133333333333,0.118566666666667,0.0765,0.0611666666666667,0.0555666666666667,0.0418666666666667,0.0477666666666667
famp5,0.2893,0.2538,0.188677777777778,0.164066666666667,0.1331,0.110133333333333,0.0980666666666667,0.0833,0.0581,0.0545333333333333,0.0394
famp6,0.2483,0.200733333333333,0.160133333333333,0.135333333333333,0.157533333333333,0.1204,0.0674666666666667,0.0650222222222222,0.0541,0.049,0.0337
