Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.015225,0.015225,0.00773333333333333,0.00614166666666667,0.0116583333333333,0.003275,0.0052,0.00331944444444445,0.00333333333333333,0.00485833333333333,0.00136666666666667
famp2,0.0238166666666667,0.0187583333333333,0.0157944444444444,0.0137583333333333,0.0110833333333333,0.00948333333333333,0.006525,0.00341111111111111,0.00504166666666667,0.001975,0.00230833333333333
famp3,0.0169166666666667,0.01475,0.0178583333333333,0.0146583333333333,0.01565,0.012475,0.00643333333333333,0.00424444444444444,0.00504166666666667,0.00310833333333333,0.000958333333333332
famp4,0.0159416666666667,0.0101916666666667,0.00881388888888889,0.0100583333333333,0.00898333333333333,0.013775,0.00485833333333334,0.00489722222222222,0.00298333333333333,0.00258333333333333,0.00489166666666667
famp5,0.0259083333333333,0.0198666666666667,0.0103277777777778,0.01205,0.0091,0.00973333333333333,0.00903333333333333,0.00783333333333333,0.00455833333333333,0.002975,0.00266666666666667
famp6,0.017975,0.023325,0.0128722222222222,0.00715833333333333,0.0122333333333333,0.00776666666666667,0.005375,0.00527777777777778,0.00545,0.00416666666666667,0.003375
