Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.295933433926556,0.228498545052212,0.167560776201298,0.185525806260156,0.143594085388517,0.09128592702067,0.064359379947787,0.0607711476987829,0.0599848814643734,0.0630086057044518,0.0370248342195183
famp2,0.397554455783635,0.308188596099266,0.262907959587149,0.170049345098525,0.132392597014467,0.127262695363689,0.0919297636038524,0.0861986090565915,0.0802547469065734,0.0378880072878116,0.0481523199575518
famp3,0.331001975924756,0.244916485709185,0.279699619873919,0.211778157030947,0.188246079944656,0.148366919983722,0.101530715884525,0.0977934342982692,0.0828939307664182,0.0639784399903814,0.0335988069092082
famp4,0.268974516211073,0.238257467439237,0.200885843576802,0.232772072500573,0.161573636711606,0.172981791869851,0.0622820601003952,0.0884023739068993,0.0843647798856654,0.044997758492108,0.0854250529168158
famp5,0.3106263424012,0.264245805314565,0.197040124983609,0.138838779372696,0.170580298497803,0.131229727878091,0.12843156685025,0.120332008648992,0.0793800719321724,0.0686352236986419,0.0446908236684605
famp6,0.313258707169565,0.306705863269441,0.255912930553501,0.164150253823043,0.187362174929502,0.117109108940897,0.0911154649018237,0.0710953583295225,0.0925742270258828,0.07188114254707,0.0454370515661701
