ScenarioIndex,ScenarioLabel,ScenarioName,Window,FWPattern,HWPattern,CaseIndex,CaseLabel,FaultingDepth,SandVcl,ClayVcl,TargetN,NumAttempts,NumRejected,AcceptanceRatio,SeedBase,CheckpointFile
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,18,case_018_zf0500_svcl030_cvcl060,500,0.3,0.6,2000,2000,0,1,111801729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_018_zf0500_svcl030_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,19,case_019_zf1000_svcl010_cvcl040,1000,0.1,0.4,2000,2000,0,1,111901729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_019_zf1000_svcl010_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,20,case_020_zf1000_svcl010_cvcl050,1000,0.1,0.5,2000,2000,0,1,112001729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_020_zf1000_svcl010_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,21,case_021_zf1000_svcl010_cvcl060,1000,0.1,0.6,2000,2000,0,1,112101729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_021_zf1000_svcl010_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,22,case_022_zf1000_svcl020_cvcl040,1000,0.2,0.4,2000,2000,0,1,112201729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_022_zf1000_svcl020_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,23,case_023_zf1000_svcl020_cvcl050,1000,0.2,0.5,2000,2000,0,1,112301729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_023_zf1000_svcl020_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,24,case_024_zf1000_svcl020_cvcl060,1000,0.2,0.6,2000,2000,0,1,112401729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_024_zf1000_svcl020_cvcl060\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,25,case_025_zf1000_svcl030_cvcl040,1000,0.3,0.4,2000,2000,0,1,112501729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_025_zf1000_svcl030_cvcl040\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,26,case_026_zf1000_svcl030_cvcl050,1000,0.3,0.5,2000,2000,0,1,112601729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_026_zf1000_svcl030_cvcl050\predict_runs.mat
1,scenario_01_low_sand_uniform,"low sand, uniform",famp1,SC,SCCC,27,case_027_zf1000_svcl030_cvcl060,1000,0.3,0.6,2000,2000,0,1,112701729,C:\Users\shaowen\Documents\GitHub\predict_shaowen\examples\thickness_scenario_data\data\scenario_01_low_sand_uniform\famp1\case_027_zf1000_svcl030_cvcl060\predict_runs.mat
