Window,Nsim,Repeat,Metric,Component,Score
famp1,20,13,MAE,kxx,0.0197291666666667
famp1,20,13,MAE,kyy,0.0197708333333333
famp1,20,13,MAE,kzz,0.0122083333333333
famp1,20,13,Hellinger,kxx,0.377249410444282
famp1,20,13,Hellinger,kyy,0.24833525471571
famp1,20,13,Hellinger,kzz,0.221056060555847
famp1,20,13,Wasserstein,kxx,0.202922566616327
famp1,20,13,Wasserstein,kyy,0.101666235290125
famp1,20,13,Wasserstein,kzz,0.229451975323592
famp1,20,14,MAE,kxx,0.0182333333333333
famp1,20,14,MAE,kyy,0.0084
famp1,20,14,MAE,kzz,0.0171291666666667
famp1,20,14,Hellinger,kxx,0.282978929350725
famp1,20,14,Hellinger,kyy,0.199516266752543
famp1,20,14,Hellinger,kzz,0.312754575190386
famp1,20,14,Wasserstein,kxx,0.136202649578258
famp1,20,14,Wasserstein,kyy,0.180637568457029
famp1,20,14,Wasserstein,kzz,0.217035948060518
famp1,20,15,MAE,kxx,0.0205375
famp1,20,15,MAE,kyy,0.0115666666666667
famp1,20,15,MAE,kzz,0.0127416666666667
famp1,20,15,Hellinger,kxx,0.349725890211229
famp1,20,15,Hellinger,kyy,0.224045896335135
famp1,20,15,Hellinger,kzz,0.26138837733998
famp1,20,15,Wasserstein,kxx,0.174820028904995
famp1,20,15,Wasserstein,kyy,0.146904427280313
famp1,20,15,Wasserstein,kzz,0.150729290045398
famp1,20,16,MAE,kxx,0.026475
famp1,20,16,MAE,kyy,0.00865416666666667
famp1,20,16,MAE,kzz,0.0141875
famp1,20,16,Hellinger,kxx,0.367191793728855
famp1,20,16,Hellinger,kyy,0.210557199203213
famp1,20,16,Hellinger,kzz,0.274751847608014
famp1,20,16,Wasserstein,kxx,0.296920573979594
famp1,20,16,Wasserstein,kyy,0.160166664262253
famp1,20,16,Wasserstein,kzz,0.144782073053791
famp1,20,17,MAE,kxx,0.0253958333333333
famp1,20,17,MAE,kyy,0.00900833333333334
famp1,20,17,MAE,kzz,0.00716666666666667
famp1,20,17,Hellinger,kxx,0.336411037609967
famp1,20,17,Hellinger,kyy,0.189434397477062
famp1,20,17,Hellinger,kzz,0.184471480583717
famp1,20,17,Wasserstein,kxx,0.267772023542369
famp1,20,17,Wasserstein,kyy,0.0875566901811039
famp1,20,17,Wasserstein,kzz,0.077853422759191
famp1,20,18,MAE,kxx,0.0196541666666667
famp1,20,18,MAE,kyy,0.0141166666666667
famp1,20,18,MAE,kzz,0.0326166666666667
famp1,20,18,Hellinger,kxx,0.262253544290453
famp1,20,18,Hellinger,kyy,0.27232979099988
famp1,20,18,Hellinger,kzz,0.320380931126825
famp1,20,18,Wasserstein,kxx,0.231730808763321
famp1,20,18,Wasserstein,kyy,0.201765835562858
famp1,20,18,Wasserstein,kzz,0.167876005332586
famp1,20,19,MAE,kxx,0.0193291666666667
famp1,20,19,MAE,kyy,0.0173416666666667
famp1,20,19,MAE,kzz,0.0205416666666667
famp1,20,19,Hellinger,kxx,0.297273166252221
famp1,20,19,Hellinger,kyy,0.226798117950378
famp1,20,19,Hellinger,kzz,0.365694654124645
famp1,20,19,Wasserstein,kxx,0.185041899240531
famp1,20,19,Wasserstein,kyy,0.12944259743314
famp1,20,19,Wasserstein,kzz,0.321997893721381
famp1,20,20,MAE,kxx,0.0251041666666667
famp1,20,20,MAE,kyy,0.0215083333333333
famp1,20,20,MAE,kzz,0.0159125
famp1,20,20,Hellinger,kxx,0.362815338999211
famp1,20,20,Hellinger,kyy,0.246615483154136
famp1,20,20,Hellinger,kzz,0.307702169046573
famp1,20,20,Wasserstein,kxx,0.547152899579183
famp1,20,20,Wasserstein,kyy,0.158698198148419
famp1,20,20,Wasserstein,kzz,0.198353211323704
famp1,20,21,MAE,kxx,0.0259708333333333
famp1,20,21,MAE,kyy,0.0127375
famp1,20,21,MAE,kzz,0.0151333333333333
famp1,20,21,Hellinger,kxx,0.35128403230693
famp1,20,21,Hellinger,kyy,0.287463013113042
famp1,20,21,Hellinger,kzz,0.296552996520623
famp1,20,21,Wasserstein,kxx,0.424474520746363
famp1,20,21,Wasserstein,kyy,0.0942204938900709
famp1,20,21,Wasserstein,kzz,0.307824282699988
famp1,20,22,MAE,kxx,0.01455
famp1,20,22,MAE,kyy,0.0149291666666667
famp1,20,22,MAE,kzz,0.0121
famp1,20,22,Hellinger,kxx,0.285316188665955
famp1,20,22,Hellinger,kyy,0.216057737985332
famp1,20,22,Hellinger,kzz,0.267032811849469
famp1,20,22,Wasserstein,kxx,0.17845121395168
famp1,20,22,Wasserstein,kyy,0.175294727238191
famp1,20,22,Wasserstein,kzz,0.217997809118685
famp1,20,23,MAE,kxx,0.01815
famp1,20,23,MAE,kyy,0.012425
famp1,20,23,MAE,kzz,0.0091875
famp1,20,23,Hellinger,kxx,0.32525992300906
famp1,20,23,Hellinger,kyy,0.208575292360623
famp1,20,23,Hellinger,kzz,0.213610340842563
famp1,20,23,Wasserstein,kxx,0.270372931698505
famp1,20,23,Wasserstein,kyy,0.137100568994255
famp1,20,23,Wasserstein,kzz,0.246920248874565
famp1,20,24,MAE,kxx,0.0136083333333333
famp1,20,24,MAE,kyy,0.0237041666666667
famp1,20,24,MAE,kzz,0.0145041666666667
famp1,20,24,Hellinger,kxx,0.193866847403909
famp1,20,24,Hellinger,kyy,0.328072167786121
famp1,20,24,Hellinger,kzz,0.243418518787925
famp1,20,24,Wasserstein,kxx,0.26913772592473
famp1,20,24,Wasserstein,kyy,0.196520036391451
famp1,20,24,Wasserstein,kzz,0.255000945225664
famp1,20,25,MAE,kxx,0.0282125
famp1,20,25,MAE,kyy,0.0127791666666667
famp1,20,25,MAE,kzz,0.0309125
famp1,20,25,Hellinger,kxx,0.349804925457805
famp1,20,25,Hellinger,kyy,0.247805778295305
famp1,20,25,Hellinger,kzz,0.335971937457719
famp1,20,25,Wasserstein,kxx,0.216762925330706
famp1,20,25,Wasserstein,kyy,0.110317289823342
famp1,20,25,Wasserstein,kzz,0.246799597125637
famp1,20,26,MAE,kxx,0.022775
famp1,20,26,MAE,kyy,0.00846666666666667
famp1,20,26,MAE,kzz,0.0171166666666667
famp1,20,26,Hellinger,kxx,0.354594510618718
famp1,20,26,Hellinger,kyy,0.209710783215099
famp1,20,26,Hellinger,kzz,0.230309080605037
famp1,20,26,Wasserstein,kxx,0.196045363762463
famp1,20,26,Wasserstein,kyy,0.143007144253857
famp1,20,26,Wasserstein,kzz,0.0885867663739391
famp1,20,27,MAE,kxx,0.0129958333333333
famp1,20,27,MAE,kyy,0.0111166666666667
famp1,20,27,MAE,kzz,0.0235083333333333
famp1,20,27,Hellinger,kxx,0.236498094662342
famp1,20,27,Hellinger,kyy,0.264653178765814
famp1,20,27,Hellinger,kzz,0.312565955405624
famp1,20,27,Wasserstein,kxx,0.181934961166302
famp1,20,27,Wasserstein,kyy,0.121541158251339
famp1,20,27,Wasserstein,kzz,0.116598229117946
famp1,20,28,MAE,kxx,0.0126291666666667
famp1,20,28,MAE,kyy,0.00659166666666667
famp1,20,28,MAE,kzz,0.011725
famp1,20,28,Hellinger,kxx,0.223254719338842
famp1,20,28,Hellinger,kyy,0.207422091787326
famp1,20,28,Hellinger,kzz,0.198058813674374
famp1,20,28,Wasserstein,kxx,0.15523091869898
famp1,20,28,Wasserstein,kyy,0.158901480813825
famp1,20,28,Wasserstein,kzz,0.102154317481543
famp1,20,29,MAE,kxx,0.0180375
famp1,20,29,MAE,kyy,0.00592916666666667
famp1,20,29,MAE,kzz,0.0194
famp1,20,29,Hellinger,kxx,0.283367453106641
famp1,20,29,Hellinger,kyy,0.174774971030779
famp1,20,29,Hellinger,kzz,0.278144094045759
famp1,20,29,Wasserstein,kxx,0.13025516656757
famp1,20,29,Wasserstein,kyy,0.0850640529804039
famp1,20,29,Wasserstein,kzz,0.125864851788498
famp1,20,30,MAE,kxx,0.0207375
famp1,20,30,MAE,kyy,0.0111166666666667
famp1,20,30,MAE,kzz,0.0159291666666667
famp1,20,30,Hellinger,kxx,0.29232882138269
famp1,20,30,Hellinger,kyy,0.262863345933023
famp1,20,30,Hellinger,kzz,0.251593653510744
famp1,20,30,Wasserstein,kxx,0.20399197520155
famp1,20,30,Wasserstein,kyy,0.122418079184774
famp1,20,30,Wasserstein,kzz,0.266785527805356
famp1,50,1,MAE,kxx,0.0159708333333333
famp1,50,1,MAE,kyy,0.01175
famp1,50,1,MAE,kzz,0.0119166666666667
famp1,50,1,Hellinger,kxx,0.211382038497905
famp1,50,1,Hellinger,kyy,0.211645424926969
famp1,50,1,Hellinger,kzz,0.143541563040091
famp1,50,1,Wasserstein,kxx,0.245723735965286
famp1,50,1,Wasserstein,kyy,0.105395012164679
famp1,50,1,Wasserstein,kzz,0.113238677830857
famp1,50,2,MAE,kxx,0.0148333333333333
famp1,50,2,MAE,kyy,0.0124958333333333
famp1,50,2,MAE,kzz,0.0136041666666667
famp1,50,2,Hellinger,kxx,0.214844847015281
famp1,50,2,Hellinger,kyy,0.142649575587769
famp1,50,2,Hellinger,kzz,0.219619221348454
famp1,50,2,Wasserstein,kxx,0.278284757007353
famp1,50,2,Wasserstein,kyy,0.0733960160310765
famp1,50,2,Wasserstein,kzz,0.152431115139992
famp1,50,3,MAE,kxx,0.0102375
famp1,50,3,MAE,kyy,0.0097625
famp1,50,3,MAE,kzz,0.00895416666666667
