y_m,depth_m
25900.000000,0.000000
26200.000000,606.783801
26500.000000,1104.728592
26800.000000,1691.178560
27311.520964,2311.438206
28300.000000,3133.348356
28600.000000,3422.335306
29949.623620,4441.535257
30521.963970,4747.014567
30861.286504,4876.681794
31200.609039,5006.349021
31563.969834,5123.624774
31927.330630,5240.900526
