Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,kxx=0.3497 | kyy=0.1302 | kzz=0.1827,kxx=0.1370 | kyy=0.1054 | kzz=0.1827,kxx=0.1449 | kyy=0.1689 | kzz=0.0928,kxx=0.1415 | kyy=0.0906 | kzz=0.0737,kxx=0.1654 | kyy=0.0553 | kzz=0.1399,kxx=0.1208 | kyy=0.0589 | kzz=0.0393,kxx=0.0870 | kyy=0.0325 | kzz=0.0624,kxx=0.0749 | kyy=0.0516 | kzz=0.0398,kxx=0.0606 | kyy=0.0406 | kzz=0.0400,kxx=0.0361 | kyy=0.0231 | kzz=0.0583,kxx=0.0381 | kyy=0.0495 | kzz=0.0164
famp2,kxx=0.2277 | kyy=0.3356 | kzz=0.2858,kxx=0.3982 | kyy=0.2153 | kzz=0.2251,kxx=0.1650 | kyy=0.1505 | kzz=0.1895,kxx=0.0860 | kyy=0.1768 | kzz=0.1651,kxx=0.0861 | kyy=0.1798 | kzz=0.1330,kxx=0.1132 | kyy=0.1678 | kzz=0.1138,kxx=0.0931 | kyy=0.0815 | kzz=0.0783,kxx=0.0484 | kyy=0.0501 | kzz=0.0409,kxx=0.0588 | kyy=0.0603 | kzz=0.0605,kxx=0.0339 | kyy=0.0522 | kzz=0.0237,kxx=0.0348 | kyy=0.0401 | kzz=0.0277
famp3,kxx=0.3616 | kyy=0.2957 | kzz=0.2030,kxx=0.1514 | kyy=0.2420 | kzz=0.1770,kxx=0.3616 | kyy=0.1981 | kzz=0.2143,kxx=0.1587 | kyy=0.1358 | kzz=0.1759,kxx=0.1456 | kyy=0.1015 | kzz=0.1878,kxx=0.1206 | kyy=0.1103 | kzz=0.1497,kxx=0.0845 | kyy=0.0551 | kzz=0.0772,kxx=0.0579 | kyy=0.0754 | kzz=0.0509,kxx=0.0637 | kyy=0.0459 | kzz=0.0605,kxx=0.0549 | kyy=0.0608 | kzz=0.0373,kxx=0.0248 | kyy=0.0293 | kzz=0.0115
famp4,kxx=0.6544 | kyy=0.3565 | kzz=0.1913,kxx=0.3329 | kyy=0.3999 | kzz=0.1223,kxx=0.1536 | kyy=0.1677 | kzz=0.1058,kxx=0.2166 | kyy=0.2308 | kzz=0.1207,kxx=0.1239 | kyy=0.1617 | kzz=0.1078,kxx=0.0813 | kyy=0.1091 | kzz=0.1653,kxx=0.0894 | kyy=0.0818 | kzz=0.0583,kxx=0.0430 | kyy=0.0817 | kzz=0.0588,kxx=0.0370 | kyy=0.0939 | kzz=0.0358,kxx=0.0398 | kyy=0.0548 | kzz=0.0310,kxx=0.0505 | kyy=0.0341 | kzz=0.0587
famp5,kxx=0.2303 | kyy=0.3267 | kzz=0.3109,kxx=0.2320 | kyy=0.2910 | kzz=0.2384,kxx=0.2775 | kyy=0.1646 | kzz=0.1239,kxx=0.1324 | kyy=0.2152 | kzz=0.1446,kxx=0.1834 | kyy=0.1067 | kzz=0.1092,kxx=0.1148 | kyy=0.0988 | kzz=0.1168,kxx=0.0920 | kyy=0.0938 | kzz=0.1084,kxx=0.0841 | kyy=0.0718 | kzz=0.0940,kxx=0.0459 | kyy=0.0737 | kzz=0.0547,kxx=0.0714 | kyy=0.0565 | kzz=0.0357,kxx=0.0412 | kyy=0.0450 | kzz=0.0320
famp6,kxx=0.3844 | kyy=0.1448 | kzz=0.2157,kxx=0.1981 | kyy=0.1242 | kzz=0.2799,kxx=0.2185 | kyy=0.1074 | kzz=0.1545,kxx=0.1753 | kyy=0.1448 | kzz=0.0859,kxx=0.1600 | kyy=0.1658 | kzz=0.1468,kxx=0.2103 | kyy=0.0577 | kzz=0.0932,kxx=0.0553 | kyy=0.0826 | kzz=0.0645,kxx=0.1020 | kyy=0.0298 | kzz=0.0633,kxx=0.0620 | kyy=0.0349 | kzz=0.0654,kxx=0.0729 | kyy=0.0241 | kzz=0.0500,kxx=0.0345 | kyy=0.0261 | kzz=0.0405
