Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.319734279653794,0.228715826296265,0.118719266326507,0.100567073120895,0.0740938150993232,0.076572359025056,0.0335463884478488,0.0324155018908065,0.0386087073915184,0.0694356405137924,0.0147846271279027
famp2,0.361211504025517,0.488437377215952,0.25808489556473,0.102401168313862,0.0977324176369786,0.136401646964967,0.0541357301573558,0.0383326249625629,0.0852250441861138,0.0328888892038548,0.0186014089648485
famp3,0.454708111732942,0.268753115440022,0.301832161464098,0.329722264829799,0.0995695439842215,0.217038410742695,0.0804474462610384,0.0654383750247745,0.170298170484745,0.0265896555359206,0.0333245131811021
famp4,0.313407002960413,0.129148878905373,0.102339583719277,0.236847395347571,0.184596238845635,0.113921477238712,0.0320791406108327,0.123258702359829,0.0552952489824664,0.0308571420806006,0.130750009515971
famp5,0.289963689280678,0.231977028644991,0.163844410828112,0.129911486318521,0.182327113855359,0.181030645847832,0.0749736186371673,0.137724584469356,0.0462884259692875,0.0315042276991711,0.0396227879588093
famp6,0.229953937609628,0.140541548733113,0.247280973976145,0.102447351885182,0.116628131526859,0.143281806119965,0.139049083099762,0.0506565983749664,0.0842888468364221,0.0830056042319822,0.0368076386620558
