Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,kxx=0.0291 | kyy=0.0108 | kzz=0.0152,kxx=0.0114 | kyy=0.0088 | kzz=0.0152,kxx=0.0121 | kyy=0.0141 | kzz=0.0077,kxx=0.0118 | kyy=0.0076 | kzz=0.0061,kxx=0.0138 | kyy=0.0046 | kzz=0.0117,kxx=0.0101 | kyy=0.0049 | kzz=0.0033,kxx=0.0072 | kyy=0.0027 | kzz=0.0052,kxx=0.0062 | kyy=0.0043 | kzz=0.0033,kxx=0.0050 | kyy=0.0034 | kzz=0.0033,kxx=0.0030 | kyy=0.0019 | kzz=0.0049,kxx=0.0032 | kyy=0.0041 | kzz=0.0014
famp2,kxx=0.0190 | kyy=0.0280 | kzz=0.0238,kxx=0.0332 | kyy=0.0179 | kzz=0.0188,kxx=0.0138 | kyy=0.0125 | kzz=0.0158,kxx=0.0072 | kyy=0.0147 | kzz=0.0138,kxx=0.0072 | kyy=0.0150 | kzz=0.0111,kxx=0.0094 | kyy=0.0140 | kzz=0.0095,kxx=0.0078 | kyy=0.0068 | kzz=0.0065,kxx=0.0040 | kyy=0.0042 | kzz=0.0034,kxx=0.0049 | kyy=0.0050 | kzz=0.0050,kxx=0.0028 | kyy=0.0044 | kzz=0.0020,kxx=0.0029 | kyy=0.0033 | kzz=0.0023
famp3,kxx=0.0301 | kyy=0.0246 | kzz=0.0169,kxx=0.0126 | kyy=0.0202 | kzz=0.0148,kxx=0.0301 | kyy=0.0165 | kzz=0.0179,kxx=0.0132 | kyy=0.0113 | kzz=0.0147,kxx=0.0121 | kyy=0.0085 | kzz=0.0157,kxx=0.0101 | kyy=0.0092 | kzz=0.0125,kxx=0.0070 | kyy=0.0046 | kzz=0.0064,kxx=0.0048 | kyy=0.0063 | kzz=0.0042,kxx=0.0053 | kyy=0.0038 | kzz=0.0050,kxx=0.0046 | kyy=0.0051 | kzz=0.0031,kxx=0.0021 | kyy=0.0024 | kzz=0.0010
famp4,kxx=0.0545 | kyy=0.0297 | kzz=0.0159,kxx=0.0277 | kyy=0.0333 | kzz=0.0102,kxx=0.0128 | kyy=0.0140 | kzz=0.0088,kxx=0.0181 | kyy=0.0192 | kzz=0.0101,kxx=0.0103 | kyy=0.0135 | kzz=0.0090,kxx=0.0068 | kyy=0.0091 | kzz=0.0138,kxx=0.0075 | kyy=0.0068 | kzz=0.0049,kxx=0.0036 | kyy=0.0068 | kzz=0.0049,kxx=0.0031 | kyy=0.0078 | kzz=0.0030,kxx=0.0033 | kyy=0.0046 | kzz=0.0026,kxx=0.0042 | kyy=0.0028 | kzz=0.0049
famp5,kxx=0.0192 | kyy=0.0272 | kzz=0.0259,kxx=0.0193 | kyy=0.0242 | kzz=0.0199,kxx=0.0231 | kyy=0.0137 | kzz=0.0103,kxx=0.0110 | kyy=0.0179 | kzz=0.0120,kxx=0.0153 | kyy=0.0089 | kzz=0.0091,kxx=0.0096 | kyy=0.0082 | kzz=0.0097,kxx=0.0077 | kyy=0.0078 | kzz=0.0090,kxx=0.0070 | kyy=0.0060 | kzz=0.0078,kxx=0.0038 | kyy=0.0061 | kzz=0.0046,kxx=0.0059 | kyy=0.0047 | kzz=0.0030,kxx=0.0034 | kyy=0.0038 | kzz=0.0027
famp6,kxx=0.0320 | kyy=0.0121 | kzz=0.0180,kxx=0.0165 | kyy=0.0103 | kzz=0.0233,kxx=0.0182 | kyy=0.0089 | kzz=0.0129,kxx=0.0146 | kyy=0.0121 | kzz=0.0072,kxx=0.0133 | kyy=0.0138 | kzz=0.0122,kxx=0.0175 | kyy=0.0048 | kzz=0.0078,kxx=0.0046 | kyy=0.0069 | kzz=0.0054,kxx=0.0085 | kyy=0.0025 | kzz=0.0053,kxx=0.0052 | kyy=0.0029 | kzz=0.0055,kxx=0.0061 | kyy=0.0020 | kzz=0.0042,kxx=0.0029 | kyy=0.0022 | kzz=0.0034
