Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.0291416666666667,0.0114166666666667,0.0120777777777778,0.0117916666666667,0.0137833333333333,0.0100666666666667,0.00725,0.00624444444444444,0.00505,0.00300833333333333,0.003175
famp2,0.018975,0.0331833333333333,0.01375,0.00716666666666667,0.007175,0.00943333333333333,0.00775833333333333,0.00403333333333333,0.0049,0.002825,0.0029
famp3,0.0301333333333333,0.0126166666666667,0.0301333333333333,0.013225,0.0121333333333333,0.01005,0.00704166666666666,0.00482222222222222,0.00530833333333334,0.004575,0.00206666666666667
famp4,0.0545333333333333,0.0277416666666667,0.0127972222222222,0.01805,0.010325,0.006775,0.00745,0.00358611111111111,0.00308333333333333,0.00331666666666667,0.00420833333333333
famp5,0.0191916666666667,0.0193333333333333,0.0231222222222222,0.0110333333333333,0.0152833333333333,0.00956666666666667,0.00766666666666667,0.00701111111111111,0.003825,0.00595,0.00343333333333333
famp6,0.0320333333333333,0.0165083333333333,0.0182111111111111,0.0146083333333333,0.0133333333333333,0.017525,0.00460833333333333,0.00849722222222222,0.00516666666666667,0.006075,0.002875
