Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.454636172627711,0.214970887318932,0.269629426288309,0.24656993846239,0.214801217210571,0.109439047169768,0.0728165036023498,0.0691700791179662,0.0645992245149752,0.0459839001098338,0.0391726112809734
famp2,0.343304397586108,0.371344002381155,0.19947531113294,0.128294616656331,0.161673280389788,0.188473399492255,0.126757614577171,0.0482233607357674,0.0739609387812586,0.0340768860917641,0.0388209119485413
famp3,0.413209038904127,0.220718204853181,0.35555089156279,0.255236849413946,0.165967434078311,0.150469481551939,0.109389866283036,0.0652646040767024,0.0589945319094656,0.0542611506605558,0.0359788210933454
famp4,0.653795308959828,0.34181223298554,0.200874048833497,0.215548883951616,0.17439674017763,0.0949888309612477,0.0938962074998752,0.0352785731564395,0.0779869298003091,0.0590881173510089,0.0595487551504464
famp5,0.307227898400142,0.260842723892058,0.315148422416307,0.180454000078947,0.170261946534191,0.170319935715431,0.104225854486348,0.100916658355124,0.0720090856018898,0.0797502130487526,0.0632864913977503
famp6,0.480520654335058,0.285205476292074,0.270466450115791,0.261812768293311,0.243812007530484,0.249867060786823,0.0722733568295684,0.0972456861771364,0.050603877804663,0.0751635211902014,0.0518590316750004
