Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,kxx=0.4546 | kyy=0.3072 | kzz=0.2959,kxx=0.2150 | kyy=0.1745 | kzz=0.2285,kxx=0.2696 | kyy=0.1849 | kzz=0.1676,kxx=0.2466 | kyy=0.1701 | kzz=0.1855,kxx=0.2148 | kyy=0.1298 | kzz=0.1436,kxx=0.1094 | kyy=0.1242 | kzz=0.0913,kxx=0.0728 | kyy=0.0800 | kzz=0.0644,kxx=0.0692 | kyy=0.1084 | kzz=0.0608,kxx=0.0646 | kyy=0.0723 | kzz=0.0600,kxx=0.0460 | kyy=0.0724 | kzz=0.0630,kxx=0.0392 | kyy=0.0536 | kzz=0.0370
famp2,kxx=0.3433 | kyy=0.3792 | kzz=0.3976,kxx=0.3713 | kyy=0.2101 | kzz=0.3082,kxx=0.1995 | kyy=0.2253 | kzz=0.2629,kxx=0.1283 | kyy=0.2183 | kzz=0.1700,kxx=0.1617 | kyy=0.2654 | kzz=0.1324,kxx=0.1885 | kyy=0.1955 | kzz=0.1273,kxx=0.1268 | kyy=0.0965 | kzz=0.0919,kxx=0.0482 | kyy=0.0765 | kzz=0.0862,kxx=0.0740 | kyy=0.0687 | kzz=0.0803,kxx=0.0341 | kyy=0.0678 | kzz=0.0379,kxx=0.0388 | kyy=0.0508 | kzz=0.0482
famp3,kxx=0.4132 | kyy=0.3423 | kzz=0.3310,kxx=0.2207 | kyy=0.3112 | kzz=0.2449,kxx=0.3556 | kyy=0.1901 | kzz=0.2797,kxx=0.2552 | kyy=0.1834 | kzz=0.2118,kxx=0.1660 | kyy=0.1106 | kzz=0.1882,kxx=0.1505 | kyy=0.1229 | kzz=0.1484,kxx=0.1094 | kyy=0.0819 | kzz=0.1015,kxx=0.0653 | kyy=0.0747 | kzz=0.0978,kxx=0.0590 | kyy=0.0540 | kzz=0.0829,kxx=0.0543 | kyy=0.0685 | kzz=0.0640,kxx=0.0360 | kyy=0.0371 | kzz=0.0336
famp4,kxx=0.6538 | kyy=0.4370 | kzz=0.2690,kxx=0.3418 | kyy=0.3836 | kzz=0.2383,kxx=0.2009 | kyy=0.2365 | kzz=0.2009,kxx=0.2155 | kyy=0.2133 | kzz=0.2328,kxx=0.1744 | kyy=0.1771 | kzz=0.1616,kxx=0.0950 | kyy=0.1249 | kzz=0.1730,kxx=0.0939 | kyy=0.1085 | kzz=0.0623,kxx=0.0353 | kyy=0.0696 | kzz=0.0884,kxx=0.0780 | kyy=0.1181 | kzz=0.0844,kxx=0.0591 | kyy=0.0515 | kzz=0.0450,kxx=0.0595 | kyy=0.0345 | kzz=0.0854
famp5,kxx=0.3072 | kyy=0.4090 | kzz=0.3106,kxx=0.2608 | kyy=0.3377 | kzz=0.2642,kxx=0.3151 | kyy=0.2052 | kzz=0.1970,kxx=0.1805 | kyy=0.2196 | kzz=0.1388,kxx=0.1703 | kyy=0.1771 | kzz=0.1706,kxx=0.1703 | kyy=0.1118 | kzz=0.1312,kxx=0.1042 | kyy=0.0948 | kzz=0.1284,kxx=0.1009 | kyy=0.0689 | kzz=0.1203,kxx=0.0720 | kyy=0.0757 | kzz=0.0794,kxx=0.0798 | kyy=0.0599 | kzz=0.0686,kxx=0.0633 | kyy=0.0413 | kzz=0.0447
famp6,kxx=0.4805 | kyy=0.2520 | kzz=0.3133,kxx=0.2852 | kyy=0.1211 | kzz=0.3067,kxx=0.2705 | kyy=0.1237 | kzz=0.2559,kxx=0.2618 | kyy=0.1278 | kzz=0.1642,kxx=0.2438 | kyy=0.1334 | kzz=0.1874,kxx=0.2499 | kyy=0.0911 | kzz=0.1171,kxx=0.0723 | kyy=0.0704 | kzz=0.0911,kxx=0.0972 | kyy=0.0389 | kzz=0.0711,kxx=0.0506 | kyy=0.0452 | kzz=0.0926,kxx=0.0752 | kyy=0.0405 | kzz=0.0719,kxx=0.0519 | kyy=0.0235 | kzz=0.0454
