Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.1827,0.1827,0.0928,0.0737,0.1399,0.0393,0.0624,0.0398333333333334,0.04,0.0583,0.0164
famp2,0.2858,0.2251,0.189533333333333,0.1651,0.133,0.1138,0.0783,0.0409333333333333,0.0605,0.0237,0.0277
famp3,0.203,0.177,0.2143,0.1759,0.1878,0.1497,0.0772,0.0509333333333333,0.0605,0.0373,0.0115
famp4,0.1913,0.1223,0.105766666666667,0.1207,0.1078,0.1653,0.0583,0.0587666666666667,0.0358,0.031,0.0587
famp5,0.3109,0.2384,0.123933333333333,0.1446,0.1092,0.1168,0.1084,0.0939999999999999,0.0547,0.0357,0.032
famp6,0.2157,0.2799,0.154466666666667,0.0859,0.1468,0.0932,0.0645,0.0633333333333333,0.0654,0.05,0.0405
