Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.307173651479357,0.174465385874599,0.184888304246946,0.170097710940884,0.129774710571484,0.124163188652544,0.0799982275886513,0.108434216024929,0.0722605210734285,0.072360888460751,0.0535758306967947
famp2,0.379224796069235,0.210141988587328,0.225270698098661,0.218307459938792,0.265379561513724,0.195460445113831,0.0965415013505463,0.0765289426050323,0.068746205603607,0.0678087091079413,0.0508135625423816
famp3,0.34228260800269,0.31124533247687,0.190079486510986,0.183409496179582,0.110596068883478,0.122922588378505,0.0819114510463443,0.0746646357995592,0.0539852198278119,0.0685422691428297,0.037091517425582
famp4,0.43701570332326,0.383623908124438,0.236528159339698,0.213278371252481,0.177134003926181,0.124906912290142,0.108529629948413,0.0696414421944856,0.118068927164066,0.0515314148993461,0.0344927982788878
famp5,0.409032122953247,0.337663087668783,0.205181993659968,0.219606067134424,0.177107840107272,0.111804631378363,0.0948239327317707,0.0688813992557178,0.0757111720382471,0.0599340419168648,0.041319155670411
famp6,0.251965414919809,0.121130412428932,0.123726242358652,0.127811510279959,0.133401645715317,0.091143779792163,0.0703727464684345,0.0389084959917464,0.0452111543831151,0.0405309883444179,0.0235481734856223
