Row,N10,N20,N30,N40,N50,N100,N200,N300,N400,N500,N1000
famp1,0.1302,0.1054,0.168933333333333,0.0906,0.0553,0.0589,0.0325,0.0516333333333333,0.0406,0.0231,0.0495
famp2,0.3356,0.2153,0.150533333333333,0.1768,0.1798,0.1678,0.0815,0.0501333333333333,0.0603,0.0522,0.0401
famp3,0.2957,0.242,0.1981,0.1358,0.1015,0.1103,0.0551,0.0754333333333333,0.0459,0.0608,0.0293
famp4,0.3565,0.3999,0.1677,0.2308,0.1617,0.1091,0.0818,0.0817,0.0939,0.0548,0.0341
famp5,0.3267,0.291,0.164633333333333,0.2152,0.1067,0.0988,0.0938,0.0717666666666667,0.0737,0.0565,0.045
famp6,0.1448,0.1242,0.1074,0.1448,0.1658,0.0577,0.0826,0.0297666666666667,0.0349,0.0241,0.0261
